Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_Pr,Plot_index_Annual_Pr,Ave25yearSpan_Winter_pr,Plot_index_Winter_pr,Ave25yearSpan_Spring_pr,Plot_index_Spring_pr,Ave25yearSpan_Summer_pr,Plot_index_Summer_pr,Ave25yearSpan_Fall_pr,Plot_index_Fall_pr
near-term Past,1,0.0.0,historical,2.67E-05,0,1.98E-05,0,2.53E-05,0,3.23E-05,0,2.95E-05,0
near-term Past,1,1.1.1,historical,6.91E-06,0,4.82E-06,0,4.02E-06,0,1.11E-05,0,7.59E-06,0
near-term Past,1,1.1.2,historical,1.24E-05,0,8.59E-06,0,8.66E-06,0,1.68E-05,0,1.55E-05,0
near-term Past,1,10.1.1,historical,2.00E-05,0,2.42E-05,0,1.76E-05,0,1.81E-05,0,1.98E-05,0
near-term Past,1,10.1.2,historical,1.00E-05,0,1.45E-05,0,1.02E-05,0,5.55E-06,0,9.98E-06,0
near-term Past,1,10.1.3,historical,9.64E-06,0,1.24E-05,0,1.10E-05,0,6.27E-06,0,8.96E-06,0
near-term Past,1,10.1.4,historical,9.66E-06,0,7.06E-06,0,1.22E-05,0,9.49E-06,0,9.77E-06,0
near-term Past,1,10.1.5,historical,9.13E-06,0,1.10E-05,0,1.07E-05,0,5.61E-06,0,9.37E-06,0
near-term Past,1,10.1.6,historical,9.76E-06,0,9.12E-06,0,8.69E-06,0,8.84E-06,0,1.25E-05,0
near-term Past,1,10.1.7,historical,9.78E-06,0,7.80E-06,0,6.63E-06,0,1.31E-05,0,1.18E-05,0
near-term Past,1,10.1.8,historical,1.08E-05,0,1.43E-05,0,1.18E-05,0,6.92E-06,0,9.99E-06,0
near-term Past,1,10.2.1,historical,7.29E-06,0,1.28E-05,0,7.20E-06,0,2.84E-06,0,6.93E-06,0
near-term Past,1,10.2.2,historical,6.91E-06,0,7.12E-06,0,3.04E-06,0,1.01E-05,0,7.67E-06,0
near-term Past,1,10.2.3,historical,4.61E-06,0,4.88E-06,0,1.04E-06,0,5.52E-06,0,7.19E-06,0
near-term Past,1,10.2.4,historical,1.04E-05,0,4.05E-06,0,5.26E-06,0,1.92E-05,0,1.32E-05,0
near-term Past,1,11.1.1,historical,1.68E-05,0,3.67E-05,0,1.80E-05,0,1.75E-06,0,1.21E-05,0
near-term Past,1,11.1.2,historical,1.23E-05,0,2.62E-05,0,1.35E-05,0,7.82E-07,0,9.38E-06,0
near-term Past,1,11.1.3,historical,1.51E-05,0,3.17E-05,0,1.78E-05,0,2.56E-06,0,9.73E-06,0
near-term Past,1,12.1.1,historical,1.34E-05,0,1.02E-05,0,4.76E-06,0,2.61E-05,0,1.28E-05,0
near-term Past,1,12.1.2,historical,1.45E-05,0,3.45E-06,0,4.09E-06,0,3.45E-05,0,1.60E-05,0
near-term Past,1,12.2.1,historical,2.26E-05,0,3.42E-06,0,7.95E-06,0,5.46E-05,0,2.40E-05,0
near-term Past,1,13.1.1,historical,1.31E-05,0,1.11E-05,0,7.25E-06,0,1.95E-05,0,1.50E-05,0
near-term Past,1,13.2.1,historical,2.52E-05,0,9.78E-06,0,4.37E-06,0,6.14E-05,0,2.52E-05,0
near-term Past,1,13.3.1,historical,2.54E-05,0,7.03E-06,0,1.34E-05,0,4.63E-05,0,3.48E-05,0
near-term Past,1,13.4.1,historical,2.61E-05,0,4.14E-06,0,1.53E-05,0,5.40E-05,0,3.06E-05,0
near-term Past,1,13.4.2,historical,3.31E-05,0,5.18E-06,0,1.18E-05,0,7.52E-05,0,3.97E-05,0
near-term Past,1,13.5.1,historical,3.54E-05,0,4.84E-06,0,3.56E-06,0,8.40E-05,0,4.89E-05,0
near-term Past,1,13.5.2,historical,3.87E-05,0,4.40E-06,0,1.57E-05,0,8.30E-05,0,5.10E-05,0
near-term Past,1,13.6.1,historical,5.51E-05,0,4.36E-06,0,2.36E-05,0,0.00011257,0,7.92E-05,0
near-term Past,1,13.6.2,historical,5.93E-05,0,2.08E-05,0,2.94E-05,0,0.000100467,0,8.58E-05,0
near-term Past,1,14.1.1,historical,3.22E-05,0,9.23E-06,0,1.59E-05,0,5.62E-05,0,4.70E-05,0
near-term Past,1,14.1.2,historical,3.69E-05,0,9.31E-06,0,1.74E-05,0,7.04E-05,0,4.98E-05,0
near-term Past,1,14.2.1,historical,2.72E-05,0,1.00E-05,0,1.27E-05,0,4.54E-05,0,4.03E-05,0
near-term Past,1,14.3.1,historical,1.73E-05,0,6.57E-06,0,6.63E-07,0,3.95E-05,0,2.26E-05,0
near-term Past,1,14.3.2,historical,2.47E-05,0,9.86E-06,0,2.14E-06,0,6.07E-05,0,2.62E-05,0
near-term Past,1,14.4.1,historical,3.19E-05,0,2.54E-06,0,9.01E-06,0,7.44E-05,0,4.10E-05,0
near-term Past,1,14.4.2,historical,4.69E-05,0,5.91E-06,0,1.95E-05,0,9.74E-05,0,6.40E-05,0
near-term Past,1,14.4.3,historical,2.66E-05,0,4.35E-06,0,1.66E-05,0,5.27E-05,0,3.20E-05,0
near-term Past,1,14.5.1,historical,3.41E-05,0,2.56E-06,0,1.08E-05,0,7.69E-05,0,4.56E-05,0
near-term Past,1,14.5.2,historical,3.79E-05,0,3.63E-06,0,6.16E-06,0,8.47E-05,0,5.68E-05,0
near-term Past,1,14.6.1,historical,1.29E-05,0,4.82E-06,0,3.95E-07,0,2.25E-05,0,2.40E-05,0
near-term Past,1,15.1.1,historical,6.49E-05,0,3.47E-05,0,2.25E-05,0,9.62E-05,0,0.000105664,0
near-term Past,1,15.1.2,historical,6.44E-05,0,2.52E-05,0,2.89E-05,0,0.000110506,0,9.21E-05,0
near-term Past,1,15.2.1,historical,3.42E-05,0,1.22E-05,0,1.94E-05,0,5.45E-05,0,5.03E-05,0
near-term Past,1,15.2.2,historical,4.08E-05,0,2.13E-05,0,2.41E-05,0,5.46E-05,0,6.28E-05,0
near-term Past,1,15.2.3,historical,4.03E-05,0,1.78E-05,0,1.96E-05,0,6.10E-05,0,6.25E-05,0
near-term Past,1,15.3.1,historical,6.05E-05,0,2.29E-05,0,1.63E-05,0,0.000102475,0,9.96E-05,0
near-term Past,1,15.4.1,historical,4.50E-05,0,1.82E-05,0,3.20E-05,0,7.65E-05,0,5.30E-05,0
near-term Past,1,15.5.1,historical,4.27E-05,0,6.00E-06,0,1.91E-06,0,0.000106412,0,5.64E-05,0
near-term Past,1,15.5.2,historical,4.31E-05,0,6.36E-06,0,2.94E-06,0,0.000106491,0,5.65E-05,0
near-term Past,1,15.6.1,historical,5.65E-05,0,2.16E-06,0,2.39E-05,0,0.000115128,0,8.43E-05,0
near-term Past,1,2.1.1,historical,2.36E-06,0,4.42E-07,0,1.05E-06,0,5.10E-06,0,2.79E-06,0
near-term Past,1,2.1.2,historical,4.60E-06,0,2.74E-06,0,2.49E-06,0,7.91E-06,0,5.22E-06,0
