Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_tas,Plot_index_Annual_tas,Ave25yearSpan_Winter_tas,Plot_index_Winter_tas,Ave25yearSpan_Spring_tas,Plot_index_Spring_tas,Ave25yearSpan_Summer_tas,Plot_index_Summer_tas,Ave25yearSpan_Fall_tas,Plot_index_Fall_tas
near-term Past,1,0.0.0,historical,280.14557,0,266.4461145,0,279.169856,0,292.4836487,0,282.2247693,0
near-term Past,1,1.1.1,historical,251.52231,0,237.5229901,0,245.7978027,0,271.0559399,0,251.4904694,0
near-term Past,1,1.1.2,historical,260.8071,0,248.3500635,0,255.5971979,0,275.0168054,0,264.1030774,0
near-term Past,1,10.1.1,historical,277.44104,0,267.8132532,0,276.6880798,0,287.1273547,0,277.9247961,0
near-term Past,1,10.1.2,historical,284.19464,0,274.4862158,0,283.61203,0,294.0268591,0,284.4283447,0
near-term Past,1,10.1.3,historical,281.6466,0,272.2003748,0,280.304646,0,291.8731213,0,281.9913428,0
near-term Past,1,10.1.4,historical,279.4726,0,268.4951331,0,278.1105994,0,290.9634351,0,280.0782678,0
near-term Past,1,10.1.5,historical,283.22156,0,273.61328,0,281.5972498,0,293.7416467,0,283.7083606,0
near-term Past,1,10.1.6,historical,282.78702,0,271.4365967,0,281.9547986,0,294.1801416,0,283.3133997,0
near-term Past,1,10.1.7,historical,284.60037,0,274.7034814,0,283.4811414,0,294.8133887,0,285.1893494,0
near-term Past,1,10.1.8,historical,282.74762,0,272.3194214,0,281.6654639,0,293.5256787,0,283.2543713,0
near-term Past,1,10.2.1,historical,290.62146,0,281.9316199,0,288.9136133,0,300.1578223,0,291.2729688,0
near-term Past,1,10.2.2,historical,295.1279,0,287.133988,0,293.4820898,0,303.4455542,0,296.2756738,0
near-term Past,1,10.2.3,historical,294.32632,0,289.8405713,0,292.2412708,0,298.8962769,0,296.2422717,0
near-term Past,1,10.2.4,historical,292.04062,0,284.1423584,0,292.7392261,0,299.1966589,0,291.9506677,0
near-term Past,1,11.1.1,historical,288.645,0,283.5071948,0,287.123103,0,293.9733704,0,289.8474524,0
near-term Past,1,11.1.2,historical,290.69675,0,283.5008179,0,289.6296594,0,297.8866956,0,291.5876465,0
near-term Past,1,11.1.3,historical,285.53354,0,280.4374475,0,283.4918762,0,291.3676526,0,286.7082227,0
near-term Past,1,12.1.1,historical,290.61957,0,282.4783276,0,289.4456628,0,299.0488818,0,291.3512439,0
near-term Past,1,12.1.2,historical,290.48126,0,284.3793909,0,291.2186072,0,295.8072266,0,290.4181824,0
near-term Past,1,12.2.1,historical,291.4201,0,288.0338135,0,293.1098035,0,293.3966309,0,291.091825,0
near-term Past,1,13.1.1,historical,285.29916,0,276.4479211,0,283.9970837,0,294.6442517,0,285.9253284,0
near-term Past,1,13.2.1,historical,289.8644,0,284.4854346,0,289.8873096,0,294.6233862,0,290.3748547,0
near-term Past,1,13.3.1,historical,292.1933,0,288.1137256,0,293.9154309,0,295.0247864,0,291.6687195,0
near-term Past,1,13.4.1,historical,288.66748,0,286.1184167,0,290.3798828,0,289.9363684,0,288.2062488,0
near-term Past,1,13.4.2,historical,290.39423,0,287.7375757,0,291.7520996,0,291.7698926,0,290.2884827,0
near-term Past,1,13.5.1,historical,294.53415,0,292.0304773,0,294.6754053,0,296.2517175,0,295.1526831,0
near-term Past,1,13.5.2,historical,293.40723,0,291.6897058,0,294.7804443,0,293.950835,0,293.2079028,0
near-term Past,1,13.6.1,historical,294.8758,0,293.199447,0,296.2254736,0,295.4839404,0,294.5889282,0
near-term Past,1,13.6.2,historical,294.0869,0,292.0965686,0,295.2804968,0,294.9688501,0,293.9948645,0
near-term Past,1,14.1.1,historical,298.47046,0,293.3701282,0,299.6327283,0,302.3367334,0,298.4812524,0
near-term Past,1,14.1.2,historical,297.81958,0,293.1302234,0,299.2965515,0,301.1130237,0,297.6815344,0
near-term Past,1,14.2.1,historical,299.94458,0,297.1411145,0,300.72271,0,301.8019934,0,300.0902844,0
near-term Past,1,14.3.1,historical,298.33252,0,292.7223499,0,296.9756042,0,303.4629858,0,300.0789233,0
near-term Past,1,14.3.2,historical,296.30075,0,290.5787073,0,295.6958911,0,301.4010339,0,297.4328296,0
near-term Past,1,14.4.1,historical,298.33115,0,296.1549744,0,300.1813452,0,298.9983826,0,297.9753296,0
near-term Past,1,14.4.2,historical,297.78162,0,295.8626685,0,299.2106787,0,298.5911401,0,297.4542273,0
near-term Past,1,14.4.3,historical,292.22195,0,290.043208,0,293.9967224,0,292.9536133,0,291.8874487,0
near-term Past,1,14.5.1,historical,298.66248,0,296.801665,0,300.0719922,0,299.4320911,0,298.3424658,0
near-term Past,1,14.5.2,historical,299.48334,0,297.7148779,0,299.6307056,0,300.6377258,0,299.9394519,0
near-term Past,1,14.6.1,historical,295.8208,0,291.307345,0,294.0703796,0,300.0691101,0,297.7489941,0
near-term Past,1,15.1.1,historical,300.0395,0,297.0536035,0,301.4250476,0,301.7491931,0,299.9046545,0
near-term Past,1,15.1.2,historical,298.00323,0,294.9286646,0,299.4209485,0,299.8095398,0,297.8247742,0
near-term Past,1,15.2.1,historical,299.827,0,297.0609302,0,300.7799048,0,301.6055042,0,299.843197,0
near-term Past,1,15.2.2,historical,299.82416,0,297.4042297,0,300.3169678,0,301.540166,0,300.0219507,0
near-term Past,1,15.2.3,historical,299.5721,0,296.7943689,0,300.7255774,0,301.2253052,0,299.5220044,0
near-term Past,1,15.3.1,historical,297.54285,0,294.3985425,0,299.1306165,0,299.3123718,0,297.2991943,0
near-term Past,1,15.4.1,historical,298.18005,0,293.6478833,0,297.6334131,0,301.9818726,0,299.3958972,0
near-term Past,1,15.5.1,historical,298.7396,0,295.5247986,0,297.3403857,0,301.6098975,0,300.4449963,0
near-term Past,1,15.5.2,historical,297.68512,0,294.6619702,0,296.6640051,0,300.2925439,0,299.0874207,0
near-term Past,1,15.6.1,historical,299.44724,0,298.0861377,0,300.6991064,0,299.8434399,0,299.1581848,0
near-term Past,1,2.1.1,historical,255.36597,0,240.0733807,0,249.8761072,0,274.3358337,0,256.8668433,0
near-term Past,1,2.1.2,historical,253.64948,0,239.016228,0,247.9934705,0,273.7499512,0,253.5999609,0
near-term Past,1,2.1.3,historical,256.58987,0,241.3454108,0,250.9897174,0,274.9476904,0,258.7660413,0
near-term Past,1,2.1.4,historical,257.4293,0,242.3314819,0,252.0940729,0,275.751626,0,259.3266693,0
near-term Past,1,2.1.5,historical,261.22702,0,245.5713184,0,255.8598462,0,278.3189807,0,264.9143762,0
near-term Past,1,2.1.6,historical,260.84464,0,247.4839117,0,255.376936,0,276.125509,0,264.2081335,0
near-term Past,1,2.1.7,historical,261.683,0,246.750545,0,256.4303937,0,278.0756958,0,265.2529187,0
near-term Past,1,2.1.8,historical,258.73468,0,242.7829822,0,252.8348926,0,277.1866907,0,261.7992798,0
near-term Past,1,2.1.9,historical,259.60678,0,244.2741089,0,254.0230652,0,277.2354138,0,262.5566443,0
near-term Past,1,2.2.1,historical,264.04132,0,249.1412268,0,260.2322241,0,280.3912012,0,266.0304199,0
near-term Past,1,2.2.2,historical,264.7834,0,250.0564539,0,261.287561,0,281.3651221,0,266.0373474,0
near-term Past,1,2.2.3,historical,271.3577,0,259.9902136,0,268.5626465,0,284.0594019,0,272.589281,0
near-term Past,1,2.2.4,historical,268.83633,0,256.8378638,0,265.2283862,0,282.5809546,0,270.4131665,0
near-term Past,1,2.2.5,historical,274.90695,0,265.3004297,0,273.436853,0,285.3121106,0,275.3903589,0
near-term Past,1,2.2.6,historical,277.4351,0,273.7517651,0,274.994386,0,281.8956421,0,279.0468372,0
near-term Past,1,2.3.1,historical,262.82053,0,247.4447687,0,260.1197131,0,280.1359351,0,263.1598975,0
near-term Past,1,2.4.1,historical,263.36667,0,246.3418304,0,259.0140472,0,281.5017444,0,266.1989856,0
near-term Past,1,2.4.2,historical,262.73642,0,244.6945282,0,257.7974371,0,281.7096411,0,266.3897266,0
near-term Past,1,2.4.3,historical,266.58096,0,252.1217352,0,262.0542004,0,280.5371497,0,271.3546631,0
near-term Past,1,2.4.4,historical,260.38947,0,242.764173,0,254.7699341,0,279.8057971,0,263.8710608,0
near-term Past,1,3.1.1,historical,268.86465,0,253.6326575,0,267.6197351,0,285.006189,0,268.8306946,0
near-term Past,1,3.1.2,historical,270.8499,0,255.4877161,0,270.2957971,0,286.7730408,0,270.4856348,0
near-term Past,1,3.1.3,historical,269.25436,0,251.6558075,0,269.1552332,0,287.1416602,0,268.5844409,0
near-term Past,1,3.2.1,historical,265.64487,0,248.4442114,0,264.675061,0,283.2969495,0,265.7011304,0
near-term Past,1,3.2.2,historical,265.65247,0,248.786405,0,265.0775513,0,282.5519238,0,265.7273438,0
near-term Past,1,3.2.3,historical,267.4743,0,249.1607874,0,266.8633691,0,285.7222717,0,267.6366919,0
near-term Past,1,3.3.1,historical,267.12775,0,248.0404944,0,265.4675989,0,286.1583911,0,268.3223706,0
near-term Past,1,3.3.2,historical,272.09357,0,254.1128491,0,272.6235291,0,288.2035596,0,272.9594568,0
near-term Past,1,3.4.1,historical,266.80746,0,247.8823572,0,264.116156,0,285.2644287,0,269.5467151,0
near-term Past,1,3.4.2,historical,269.39926,0,253.1848724,0,266.4119055,0,284.5252429,0,273.149707,0
near-term Past,1,3.4.3,historical,270.54794,0,256.0466925,0,267.9614355,0,284.5945789,0,273.2641736,0
near-term Past,1,3.4.4,historical,268.4916,0,253.127597,0,265.145708,0,283.379668,0,272.0073303,0
near-term Past,1,3.4.5,historical,267.56064,0,248.5260278,0,265.2336084,0,285.9206348,0,270.0816077,0
near-term Past,1,4.1.1,historical,269.41632,0,251.366355,0,266.7140723,0,286.0701843,0,273.1354028,0
near-term Past,1,4.1.2,historical,272.09357,0,254.3613562,0,270.3644568,0,288.0436169,0,275.2359644,0
near-term Past,1,5.1.1,historical,271.80045,0,253.2393921,0,271.7187415,0,288.5339746,0,273.2689563,0
near-term Past,1,5.1.2,historical,274.5939,0,257.0350452,0,274.3860364,0,289.9602661,0,276.626781,0
near-term Past,1,5.1.3,historical,273.1556,0,258.2388251,0,271.4032349,0,287.0120471,0,275.6255615,0
near-term Past,1,5.1.4,historical,277.39285,0,267.4028357,0,274.4178809,0,287.7947314,0,279.7358496,0
near-term Past,1,5.1.5,historical,272.40997,0,253.8192194,0,271.5709473,0,289.1436768,0,274.7044177,0
near-term Past,1,5.1.6,historical,274.06256,0,257.369353,0,273.0835364,0,288.7625586,0,276.6885657,0
near-term Past,1,5.2.1,historical,278.1952,0,262.9725049,0,277.8972803,0,291.5700513,0,280.0283594,0
near-term Past,1,5.2.2,historical,277.18286,0,260.1946423,0,277.5755347,0,291.6866565,0,278.9120227,0
near-term Past,1,5.2.3,historical,276.93466,0,261.5047388,0,276.1907495,0,290.5486462,0,279.1722815,0
near-term Past,1,5.3.1,historical,278.69678,0,265.5802722,0,277.2261047,0,290.9568176,0,280.7308704,0
near-term Past,1,5.3.3,historical,281.9963,0,269.7816333,0,281.0690735,0,293.3146411,0,283.6084351,0
near-term Past,1,5.4.1,historical,274.6785,0,258.2653827,0,275.349845,0,288.9546375,0,275.7392944,0
near-term Past,1,5.4.2,historical,274.9846,0,261.6403198,0,275.3220374,0,286.9529602,0,275.7096594,0
near-term Past,1,5.4.3,historical,274.6179,0,256.5329346,0,274.5469434,0,290.5426062,0,276.4360071,0
near-term Past,1,6.1.1,historical,267.81934,0,251.4941846,0,267.6845264,0,284.4058569,0,267.2677075,0
