Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_Pr,Plot_index_Annual_Pr,Ave25yearSpan_Winter_pr,Plot_index_Winter_pr,Ave25yearSpan_Spring_pr,Plot_index_Spring_pr,Ave25yearSpan_Summer_pr,Plot_index_Summer_pr,Ave25yearSpan_Fall_pr,Plot_index_Fall_pr
near-term Past,ACCESS-CM2,0.0.0,historical,2.6724298604562436e-05,0.0,1.971293629788502e-05,0.0,2.5289550460401962e-05,0.0,3.227815651802884e-05,0.0,2.9512729766962698e-05,0.0
near-term Past,ACCESS-CM2,1.1.1,historical,6.892502064749769e-06,0.0,4.8235522147439104e-06,0.0,4.010998947227127e-06,0.0,1.1127023144840464e-05,0.0,7.576286481324145e-06,0.0
near-term Past,ACCESS-CM2,1.1.2,historical,1.2414290758369524e-05,0.0,8.719428720183893e-06,0.0,8.651664614507913e-06,0.0,1.678606760029923e-05,0.0,1.5462449946321235e-05,0.0
near-term Past,ACCESS-CM2,10.1.1,historical,1.9998967808505155e-05,0.0,2.4455911280555e-05,0.0,1.7632638833026107e-05,0.0,1.8160536934386424e-05,0.0,1.9830213162848194e-05,0.0
near-term Past,ACCESS-CM2,10.1.2,historical,1.0080681939648148e-05,0.0,1.4595055712107467e-05,0.0,1.0215796091088902e-05,0.0,5.590267387309893e-06,0.0,1.0007171474327714e-05,0.0
near-term Past,ACCESS-CM2,10.1.3,historical,9.64193341752972e-06,0.0,1.2376480493173981e-05,0.0,1.1004110491938537e-05,0.0,6.274097124607071e-06,0.0,8.95792374716856e-06,0.0
near-term Past,ACCESS-CM2,10.1.4,historical,9.672044326997827e-06,0.0,7.1213446936650176e-06,0.0,1.2235265749593171e-05,0.0,9.500394103417637e-06,0.0,9.78358921274024e-06,0.0
near-term Past,ACCESS-CM2,10.1.5,historical,9.133921452058524e-06,0.0,1.0882365211105602e-05,0.0,1.0707863426568896e-05,0.0,5.608254732421839e-06,0.0,9.373252350247657e-06,0.0
near-term Past,ACCESS-CM2,10.1.6,historical,9.715052445349446e-06,0.0,9.010646071749043e-06,0.0,8.62197284043901e-06,0.0,8.7978259112553e-06,0.0,1.2445973279878253e-05,0.0
near-term Past,ACCESS-CM2,10.1.7,historical,9.789141738127902e-06,0.0,7.618198369346672e-06,0.0,6.6288645763100314e-06,0.0,1.3071172514876151e-05,0.0,1.181886258455894e-05,0.0
near-term Past,ACCESS-CM2,10.1.8,historical,1.0752159604712111e-05,0.0,1.4315524340623383e-05,0.0,1.1847394573332739e-05,0.0,6.918028735436641e-06,0.0,9.987548495828735e-06,0.0
near-term Past,ACCESS-CM2,10.2.1,historical,7.291883710044885e-06,0.0,1.2291344964372468e-05,0.0,7.19548336600806e-06,0.0,2.841665396311726e-06,0.0,6.9307576982242e-06,0.0
near-term Past,ACCESS-CM2,10.2.2,historical,6.905456913060102e-06,0.0,6.787792974600257e-06,0.0,3.037780084226951e-06,0.0,1.0135297255324763e-05,0.0,7.666983842410851e-06,0.0
near-term Past,ACCESS-CM2,10.2.3,historical,4.6145644482936185e-06,0.0,4.74488183299853e-06,0.0,1.035638442379515e-06,0.0,5.517377279259391e-06,0.0,7.190856440595545e-06,0.0
near-term Past,ACCESS-CM2,10.2.4,historical,1.043042118632234e-05,0.0,3.999527853222276e-06,0.0,5.247274878412295e-06,0.0,1.9190555458973346e-05,0.0,1.3191310434924338e-05,0.0
near-term Past,ACCESS-CM2,11.1.1,historical,1.681571635655772e-05,0.0,3.57206737189658e-05,0.0,1.801221778656863e-05,0.0,1.7505046219754653e-06,0.0,1.208976026465507e-05,0.0
near-term Past,ACCESS-CM2,11.1.2,historical,1.2280045614416603e-05,0.0,2.5671712283820554e-05,0.0,1.3511861896256854e-05,0.0,7.816444033539942e-07,0.0,9.379625979707176e-06,0.0
near-term Past,ACCESS-CM2,11.1.3,historical,1.505674991164846e-05,0.0,3.0393084340085743e-05,0.0,1.777871930055892e-05,0.0,2.5644000655857373e-06,0.0,9.726246430723485e-06,0.0
near-term Past,ACCESS-CM2,12.1.1,historical,1.3363151674208889e-05,0.0,9.680814050266763e-06,0.0,4.755716330237757e-06,0.0,2.6125625963481883e-05,0.0,1.2814036995272254e-05,0.0
near-term Past,ACCESS-CM2,12.1.2,historical,1.4483665693723034e-05,0.0,3.3698989719565707e-06,0.0,3.7753148897049125e-06,0.0,3.460247275816208e-05,0.0,1.599074627628876e-05,0.0
near-term Past,ACCESS-CM2,12.2.1,historical,2.2573936675857715e-05,0.0,3.417957717934442e-06,0.0,7.946083279706766e-06,0.0,5.461477484415953e-05,0.0,2.3965595380529327e-05,0.0
near-term Past,ACCESS-CM2,13.1.1,historical,1.3102277293072067e-05,0.0,1.068002156933906e-05,0.0,7.245623996957946e-06,0.0,1.9476872008666567e-05,0.0,1.4980670105351978e-05,0.0
near-term Past,ACCESS-CM2,13.2.1,historical,2.511988933255956e-05,0.0,9.43656679216196e-06,0.0,3.9731026543277855e-06,0.0,6.150208218890806e-05,0.0,2.5269402054084224e-05,0.0
near-term Past,ACCESS-CM2,13.3.1,historical,2.54402405736766e-05,0.0,7.075974959353099e-06,0.0,1.3374892513598158e-05,0.0,4.6302943349153985e-05,0.0,3.4757105356312324e-05,0.0
near-term Past,ACCESS-CM2,13.4.1,historical,2.614148349489356e-05,0.0,4.238377752264715e-06,0.0,1.5293940475972217e-05,0.0,5.4033883460334744e-05,0.0,3.062949913373972e-05,0.0
near-term Past,ACCESS-CM2,13.4.2,historical,3.309669269254398e-05,0.0,5.212529606966099e-06,0.0,1.1760245506633722e-05,0.0,7.520829409197191e-05,0.0,3.974452444198274e-05,0.0
near-term Past,ACCESS-CM2,13.5.1,historical,3.5382400413315685e-05,0.0,4.646210745520194e-06,0.0,3.5555515168298773e-06,0.0,8.400624662627428e-05,0.0,4.8880312528770265e-05,0.0
near-term Past,ACCESS-CM2,13.5.2,historical,3.8667646507091854e-05,0.0,4.528135015792479e-06,0.0,1.5664398861223327e-05,0.0,8.296671909110794e-05,0.0,5.099219181110593e-05,0.0
near-term Past,ACCESS-CM2,13.6.1,historical,5.5102205191910645e-05,0.0,4.374317488590347e-06,0.0,2.356146066233605e-05,0.0,0.00011257025009004474,0.0,7.919421565828591e-05,0.0
near-term Past,ACCESS-CM2,13.6.2,historical,5.932049373102491e-05,0.0,2.1221654693280185e-05,0.0,2.9397823925559997e-05,0.0,0.00010046684484173606,0.0,8.575412620007359e-05,0.0
near-term Past,ACCESS-CM2,14.1.1,historical,3.218097244079404e-05,0.0,9.357715606739857e-06,0.0,1.5943149117331357e-05,0.0,5.6177337905922875e-05,0.0,4.6969816613011225e-05,0.0
near-term Past,ACCESS-CM2,14.1.2,historical,3.6860553884838876e-05,0.0,9.45278460546817e-06,0.0,1.736881282835636e-05,0.0,7.042946166984436e-05,0.0,4.980756224468834e-05,0.0
near-term Past,ACCESS-CM2,14.2.1,historical,2.7170933337911893e-05,0.0,1.0158867838970166e-05,0.0,1.2670239595371897e-05,0.0,4.538191812291552e-05,0.0,4.028985657656955e-05,0.0
near-term Past,ACCESS-CM2,14.3.1,historical,1.7296515702295258e-05,0.0,6.2454184350374994e-06,0.0,6.629727298005348e-07,0.0,3.953443702867307e-05,0.0,2.2589353162076548e-05,0.0
