Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_tas,Plot_index_Annual_tas,Ave25yearSpan_Winter_tas,Plot_index_Winter_tas,Ave25yearSpan_Spring_tas,Plot_index_Spring_tas,Ave25yearSpan_Summer_tas,Plot_index_Summer_tas,Ave25yearSpan_Fall_tas,Plot_index_Fall_tas
near-term Past,1,0.0.0,historical,280.1494017518904,0.0,266.4708181853824,0.0,279.1728504649159,0.0,292.4862485475125,0.0,282.2286126776719,0.0
near-term Past,1,1.1.1,historical,251.5386588152727,0.0,237.48957116950487,0.0,245.81504356311711,0.0,271.07084887611705,0.0,251.51009603235747,0.0
near-term Past,1,1.1.2,historical,260.8151430130578,0.0,248.31223502941162,0.0,255.60587394921674,0.0,275.02878563292967,0.0,264.11030838986443,0.0
near-term Past,1,10.1.1,historical,277.4185779354206,0.0,267.82241933616115,0.0,276.6680737561776,0.0,287.1039190106806,0.0,277.90157087568014,0.0
near-term Past,1,10.1.2,historical,284.1490741163014,0.0,274.48223227446596,0.0,283.5644856339758,0.0,293.98082372001977,0.0,284.3864036178299,0.0
near-term Past,1,10.1.3,historical,281.64664764616504,0.0,272.2412796987556,0.0,280.3046497149095,0.0,291.873130461444,0.0,281.9913486818142,0.0
near-term Past,1,10.1.4,historical,279.46755770561845,0.0,268.531393299672,0.0,278.1052012154549,0.0,290.95714159592336,0.0,280.0738714988008,0.0
near-term Past,1,10.1.5,historical,283.223012401051,0.0,273.66818557729295,0.0,281.59745185271873,0.0,293.73942863796066,0.0,283.7094832716751,0.0
near-term Past,1,10.1.6,historical,282.8408316189576,0.0,271.54224525856733,0.0,282.0091009603887,0.0,294.2358292351598,0.0,283.3657093448847,0.0
near-term Past,1,10.1.7,historical,284.5946372239455,0.0,274.735194794322,0.0,283.47400694054267,0.0,294.8029433047253,0.0,285.18419669087444,0.0
near-term Past,1,10.1.8,historical,282.74763847044954,0.0,272.3516457653938,0.0,281.6654712106712,0.0,293.52568459759584,0.0,283.2543805133768,0.0
near-term Past,1,10.2.1,historical,290.6214910046248,0.0,281.9833595627512,0.0,288.91362037083377,0.0,300.15783510000807,0.0,291.2729791677915,0.0
near-term Past,1,10.2.2,historical,295.12787736676603,0.0,287.1683844379288,0.0,293.4820955631007,0.0,303.44555774937504,0.0,296.275679263859,0.0
near-term Past,1,10.2.3,historical,294.32647033760753,0.0,289.8614538237558,0.0,292.241272692473,0.0,298.89628258912455,0.0,296.2422785400558,0.0
near-term Past,1,10.2.4,historical,292.03616187098436,0.0,284.12292149846326,0.0,292.7348294629221,0.0,299.1882652755405,0.0,291.9462704373454,0.0
near-term Past,1,11.1.1,historical,288.6400163508051,0.0,283.5341059393916,0.0,287.11829663940097,0.0,293.9833831057341,0.0,289.83964082906533,0.0
near-term Past,1,11.1.2,historical,290.69661361754834,0.0,283.5555078574159,0.0,289.6296668384386,0.0,297.8866987041805,0.0,291.5876538318592,0.0
near-term Past,1,11.1.3,historical,285.53360289403724,0.0,280.4827796916405,0.0,283.4918927342218,0.0,291.3676616028081,0.0,286.7082206883273,0.0
near-term Past,1,12.1.1,historical,290.6196488420806,0.0,282.4851237076526,0.0,289.4456638027274,0.0,299.0488891253264,0.0,291.3512539595824,0.0
near-term Past,1,12.1.2,historical,290.4752507199229,0.0,284.3509272247764,0.0,291.20773625954337,0.0,295.8104206707166,0.0,290.41409299557023,0.0
near-term Past,1,12.2.1,historical,291.42010192584917,0.0,288.01338096222975,0.0,293.1098169476053,0.0,293.3966368882552,0.0,291.09183270842163,0.0
near-term Past,1,13.1.1,historical,285.2992119387756,0.0,276.4680315898558,0.0,283.99708818359863,0.0,294.64425089919047,0.0,285.9253384860793,0.0
near-term Past,1,13.2.1,historical,289.87384854340104,0.0,284.48568440948395,0.0,289.8921868915143,0.0,294.6308878600079,0.0,290.38915828285633,0.0
near-term Past,1,13.3.1,historical,292.19335887982254,0.0,288.0800892287535,0.0,293.9154410693956,0.0,295.0247908907351,0.0,291.6687231311169,0.0
near-term Past,1,13.4.1,historical,288.66747131979537,0.0,286.09311158813483,0.0,290.37988799240276,0.0,289.9363739536119,0.0,288.2062498472025,0.0
near-term Past,1,13.4.2,historical,290.3943027415916,0.0,287.71429406303037,0.0,291.7521010270326,0.0,291.76990431909974,0.0,290.2884917060097,0.0
near-term Past,1,13.5.1,historical,294.53414284527827,0.0,292.0152758830828,0.0,294.67541247036144,0.0,296.25172208620154,0.0,295.1526973397391,0.0
near-term Past,1,13.5.2,historical,293.407066925754,0.0,291.6533528999234,0.0,294.78045438849404,0.0,293.9508429311669,0.0,293.2079033501593,0.0
near-term Past,1,13.6.1,historical,294.87579432980357,0.0,293.1690515509734,0.0,296.2254711072341,0.0,295.4839478534201,0.0,294.5889380733783,0.0
near-term Past,1,13.6.2,historical,294.08689323753663,0.0,292.0636281795535,0.0,295.28050566134243,0.0,294.96885629902715,0.0,293.99487669012046,0.0
near-term Past,1,14.1.1,historical,298.470433877016,0.0,293.3328410570503,0.0,299.6327320277172,0.0,302.3367374229431,0.0,298.4812582724435,0.0
near-term Past,1,14.1.2,historical,297.8196052103206,0.0,293.0954162099682,0.0,299.2965530710635,0.0,301.11303320345667,0.0,297.68154187883647,0.0
near-term Past,1,14.2.1,historical,299.9446112673171,0.0,297.11080759484713,0.0,300.72271742779276,0.0,301.8020039193526,0.0,300.0902876700936,0.0
near-term Past,1,14.3.1,historical,298.33253804934714,0.0,292.7243103910845,0.0,296.97560964874594,0.0,303.4629950581426,0.0,300.07893180679486,0.0
near-term Past,1,14.3.2,historical,296.28608574410305,0.0,290.5778735827047,0.0,295.69421219991597,0.0,301.3649721187094,0.0,297.4103042610923,0.0
near-term Past,1,14.4.1,historical,298.3310683273509,0.0,296.12309950818405,0.0,300.18135120308915,0.0,298.998385040449,0.0,297.97533144898466,0.0
near-term Past,1,14.4.2,historical,297.78159244985625,0.0,295.8293966842881,0.0,299.210685284656,0.0,298.5911498542454,0.0,297.45423337160884,0.0
near-term Past,1,14.4.3,historical,292.2219508198341,0.0,290.0039323603853,0.0,293.99672380322994,0.0,292.9536235079558,0.0,291.887456138527,0.0
near-term Past,1,14.5.1,historical,298.6624636471382,0.0,296.7634866531013,0.0,300.0719998716271,0.0,299.4320903098065,0.0,298.3424713210221,0.0
near-term Past,1,14.5.2,historical,299.4831836956953,0.0,297.69559319746406,0.0,299.63071140372233,0.0,300.6377331377112,0.0,299.93945917653514,0.0
near-term Past,1,14.6.1,historical,295.8208319893464,0.0,291.3298638430893,0.0,294.0703881458614,0.0,300.06911570092905,0.0,297.7490044910305,0.0
near-term Past,1,15.1.1,historical,300.03114712875674,0.0,297.00929476200264,0.0,301.4172456550598,0.0,301.74111300758693,0.0,299.89767495626927,0.0
near-term Past,1,15.1.2,historical,298.0031691709231,0.0,294.8960070007236,0.0,299.4209613675656,0.0,299.8095470328953,0.0,297.8247809164865,0.0
near-term Past,1,15.2.1,historical,299.82703496001136,0.0,297.0261139896744,0.0,300.77991082315856,0.0,301.6055087512472,0.0,299.84319913759333,0.0
near-term Past,1,15.2.2,historical,299.8242022159966,0.0,297.3729640061128,0.0,300.3169743786687,0.0,301.5401737038985,0.0,300.0219529875032,0.0
near-term Past,1,15.2.3,historical,299.5720787088446,0.0,296.7610974837702,0.0,300.7255785801099,0.0,301.22531210940815,0.0,299.5220071126078,0.0
near-term Past,1,15.3.1,historical,297.5428671591306,0.0,294.36584717559475,0.0,299.1306241226196,0.0,299.3123705382969,0.0,297.2992004755041,0.0
near-term Past,1,15.4.1,historical,298.1926674898085,0.0,293.6573249027238,0.0,297.64519872084907,0.0,301.9877013828443,0.0,299.4068798375391,0.0
near-term Past,1,15.5.1,historical,298.7395677842677,0.0,295.5199096420132,0.0,297.3403945790166,0.0,301.60990725973375,0.0,300.44500354138046,0.0
near-term Past,1,15.5.2,historical,297.6851220704211,0.0,294.6537544864289,0.0,296.6640141478829,0.0,300.2925464795983,0.0,299.0874242023845,0.0
near-term Past,1,15.6.1,historical,299.447200546039,0.0,298.05834278586906,0.0,300.6991136136262,0.0,299.84344550505926,0.0,299.15818940131214,0.0
near-term Past,1,2.1.1,historical,255.36354474261802,0.0,240.10689058050195,0.0,249.8734573997071,0.0,274.33267471100237,0.0,256.8656167211432,0.0
near-term Past,1,2.1.2,historical,253.6467149544904,0.0,238.96402311595617,0.0,247.98966041761895,0.0,273.75539594543136,0.0,253.59634657795118,0.0
near-term Past,1,2.1.3,historical,256.59066267412203,0.0,241.39276913565098,0.0,250.99574328314998,0.0,274.9446726393258,0.0,258.7623283893123,0.0
near-term Past,1,2.1.4,historical,257.43081953728387,0.0,242.27544709951317,0.0,252.09490618207855,0.0,275.75445539895435,0.0,259.32917490200515,0.0
near-term Past,1,2.1.5,historical,261.2289954159729,0.0,245.56161353896692,0.0,255.86140272188445,0.0,278.31744772103247,0.0,264.91586856291445,0.0
near-term Past,1,2.1.6,historical,260.841732692602,0.0,247.44286650113813,0.0,255.37361269218763,0.0,276.1255900381317,0.0,264.205093674658,0.0
near-term Past,1,2.1.7,historical,261.6757861503545,0.0,246.71630072145595,0.0,256.4207317948147,0.0,278.0736141394419,0.0,265.2451135219746,0.0
near-term Past,1,2.1.8,historical,258.72166499333025,0.0,242.82923510074613,0.0,252.8622938635686,0.0,277.16552077253846,0.0,261.7585912104479,0.0
near-term Past,1,2.1.9,historical,259.6073584315216,0.0,244.3527575587127,0.0,254.0326591258593,0.0,277.23200870358187,0.0,262.5521902321113,0.0
near-term Past,1,2.2.1,historical,264.03738812980674,0.0,249.24154456299033,0.0,260.2300998732593,0.0,280.3886172284963,0.0,266.0278756681851,0.0
near-term Past,1,2.2.2,historical,264.78332099400467,0.0,250.181005823562,0.0,261.2834868054597,0.0,281.36265597476904,0.0,266.04045119286786,0.0
near-term Past,1,2.2.3,historical,271.3615431209124,0.0,260.014197242489,0.0,268.5708389561122,0.0,284.06747870004693,0.0,272.5899299555296,0.0
near-term Past,1,2.2.4,historical,268.83778738764636,0.0,256.90737398024646,0.0,265.23149328198537,0.0,282.58930560907754,0.0,270.4118520825135,0.0
near-term Past,1,2.2.5,historical,274.8913323686444,0.0,265.2799971885756,0.0,273.4244640458116,0.0,285.31096203534497,0.0,275.37125372044187,0.0
near-term Past,1,2.2.6,historical,277.29279670808825,0.0,273.602773376704,0.0,274.8637957163906,0.0,281.75978013992307,0.0,278.8916244106322,0.0
near-term Past,1,2.3.1,historical,262.82165128414664,0.0,247.5787117544614,0.0,260.12173800999295,0.0,280.13739138731324,0.0,263.1608468323839,0.0
near-term Past,1,2.4.1,historical,263.36984755849466,0.0,246.4594843509772,0.0,259.0183202016269,0.0,281.50894062342644,0.0,266.19990393986257,0.0
near-term Past,1,2.4.2,historical,262.74056878410516,0.0,244.75374334560217,0.0,257.81133502009766,0.0,281.7086203180816,0.0,266.3840840888674,0.0
near-term Past,1,2.4.3,historical,266.5810724816675,0.0,252.15415417816857,0.0,262.0542072174593,0.0,280.5371585973208,0.0,271.35466357369813,0.0
near-term Past,1,2.4.4,historical,260.38177305185843,0.0,242.80997538076224,0.0,254.80908641848873,0.0,279.7838190547575,0.0,263.82548689628726,0.0
near-term Past,1,3.1.1,historical,268.8777333282971,0.0,253.7320360574475,0.0,267.63873039532047,0.0,285.01034767627715,0.0,268.8396615869912,0.0
near-term Past,1,3.1.2,historical,270.8603825661393,0.0,255.5489929602719,0.0,270.3198572383671,0.0,286.78989944229954,0.0,270.48579548462044,0.0
near-term Past,1,3.1.3,historical,269.254344414739,0.0,251.79474023910524,0.0,269.1552408862142,0.0,287.14165715435274,0.0,268.5844480783545,0.0
near-term Past,1,3.2.1,historical,265.6348079353186,0.0,248.5667008736032,0.0,264.6623191060221,0.0,283.2914868847248,0.0,265.6928353001439,0.0
near-term Past,1,3.2.2,historical,265.65646416547446,0.0,248.93976220220114,0.0,265.08291247527137,0.0,282.5526019688501,0.0,265.7315989210119,0.0
near-term Past,1,3.2.3,historical,267.48308967223284,0.0,249.34992233062465,0.0,266.8764098070536,0.0,285.7153773092187,0.0,267.6455194074032,0.0
near-term Past,1,3.3.1,historical,267.13272206675975,0.0,248.21588967810283,0.0,265.4760652697584,0.0,286.16344291075416,0.0,268.32657989565035,0.0
near-term Past,1,3.3.2,historical,272.096220809029,0.0,254.26363889472492,0.0,272.6253935784652,0.0,288.20211428269096,0.0,272.9620021011363,0.0
near-term Past,1,3.4.1,historical,266.8150918828985,0.0,247.99143588755356,0.0,264.12320543830646,0.0,285.2664774531644,0.0,269.54885888793086,0.0
near-term Past,1,3.4.2,historical,269.39932295816635,0.0,253.24147367407136,0.0,266.4120290818096,0.0,284.5253816911967,0.0,273.1500696898452,0.0
near-term Past,1,3.4.3,historical,270.54311218436976,0.0,256.1200687886075,0.0,267.9563740560432,0.0,284.5896275264802,0.0,273.2599905620124,0.0
near-term Past,1,3.4.4,historical,268.491478948158,0.0,253.178463045756,0.0,265.1457113385415,0.0,283.3796750103018,0.0,272.0073376009078,0.0
near-term Past,1,3.4.5,historical,267.56310816170446,0.0,248.6726320649715,0.0,265.2379272686058,0.0,285.92386273700254,0.0,270.084028867274,0.0
near-term Past,1,4.1.1,historical,269.41626247814617,0.0,251.44193975940237,0.0,266.7140771697578,0.0,286.0701939802584,0.0,273.1354078882213,0.0
near-term Past,1,4.1.2,historical,272.0950604796141,0.0,254.42900050451038,0.0,270.36585246890985,0.0,288.0433271764672,0.0,275.23826765574233,0.0
near-term Past,1,5.1.1,historical,271.81010063557227,0.0,253.37262524562416,0.0,271.7249240132372,0.0,288.53083592705104,0.0,273.2752257084041,0.0
near-term Past,1,5.1.2,historical,274.5919794417496,0.0,257.0891374772584,0.0,274.3826546903376,0.0,289.9579070159663,0.0,276.6254849272182,0.0
near-term Past,1,5.1.3,historical,273.1555889587667,0.0,258.3289353101857,0.0,271.40134703961763,0.0,287.0092039720908,0.0,275.626082371776,0.0
near-term Past,1,5.1.4,historical,277.39081938413347,0.0,267.4527357784294,0.0,274.4145721302046,0.0,287.7975676227652,0.0,279.73374876859566,0.0
near-term Past,1,5.1.5,historical,272.4079401040413,0.0,253.88746240472233,0.0,271.5687086290821,0.0,289.1441773371074,0.0,274.70204315723583,0.0
near-term Past,1,5.1.6,historical,274.07014221585007,0.0,257.43388750895275,0.0,273.09298284895766,0.0,288.7682207671455,0.0,276.69575825744704,0.0
