Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_tasmax,Plot_index_Annual_tasmax,Ave25yearSpan_Winter_tasmax,Plot_index_Winter_tasmax,Ave25yearSpan_Spring_tasmax,Plot_index_Spring_tasmax,Ave25yearSpan_Summer_tasmax,Plot_index_Summer_tasmax,Ave25yearSpan_Fall_tasmax,Plot_index_Fall_tasmax
near-term Past,1,0.0.0,historical,285.4374365153713,0.0,270.9691069849109,0.0,285.061350917157,0.0,298.54650910762115,0.0,286.9122410175039,0.0
near-term Past,1,1.1.1,historical,253.70899000201274,0.0,239.97002089758794,0.0,248.45965679486292,0.0,272.3928809566824,0.0,253.75123406260266,0.0
near-term Past,1,1.1.2,historical,263.57531603769104,0.0,251.38358163311023,0.0,258.9976208043082,0.0,277.51630748775176,0.0,266.19922457527775,0.0
near-term Past,1,10.1.1,historical,282.7697453489662,0.0,271.7924453639278,0.0,282.26338746357504,0.0,293.8043907334601,0.0,283.011550204305,0.0
near-term Past,1,10.1.2,historical,290.41761056098056,0.0,278.3450230471658,0.0,289.9665204655239,0.0,302.2046340159569,0.0,290.92905100071323,0.0
near-term Past,1,10.1.3,historical,289.2049242724268,0.0,277.5945302058109,0.0,287.63424097782803,0.0,301.3878684305537,0.0,289.9896492775201,0.0
near-term Past,1,10.1.4,historical,287.03013669806666,0.0,274.8131066358282,0.0,285.35682273772187,0.0,300.2092483598432,0.0,287.5130845591725,0.0
near-term Past,1,10.1.5,historical,291.74687582357586,0.0,280.51231747686546,0.0,289.80618733784695,0.0,303.8404386523245,0.0,292.62333298392616,0.0
near-term Past,1,10.1.6,historical,290.7924464978653,0.0,278.2351172327975,0.0,290.06657144123494,0.0,303.3611352744667,0.0,291.27213716925587,0.0
near-term Past,1,10.1.7,historical,293.2476187208751,0.0,282.64042063771984,0.0,292.4720746839779,0.0,303.81689213462494,0.0,293.8650372150677,0.0
near-term Past,1,10.1.8,historical,289.7693494018358,0.0,277.36006116786535,0.0,288.5170061111472,0.0,302.52695666124436,0.0,290.44349227404336,0.0
near-term Past,1,10.2.1,historical,298.49967485755633,0.0,288.8707909955475,0.0,296.54777195167685,0.0,309.11571791189897,0.0,299.28893713522876,0.0
near-term Past,1,10.2.2,historical,303.25967524687326,0.0,294.84426066136604,0.0,302.1506867495255,0.0,311.48674348061945,0.0,304.40863441078443,0.0
near-term Past,1,10.2.3,historical,301.4309961225691,0.0,296.5341759488926,0.0,299.68162191654073,0.0,305.9922851791267,0.0,303.4441789847515,0.0
near-term Past,1,10.2.4,historical,300.4405905500639,0.0,292.63286060782207,0.0,301.99900056583056,0.0,306.9861462567342,0.0,299.99021113035394,0.0
near-term Past,1,11.1.1,historical,295.34289171065444,0.0,289.29945691880897,0.0,293.601205746166,0.0,301.47411140730713,0.0,296.8981750955903,0.0
near-term Past,1,11.1.2,historical,297.7758299622201,0.0,288.8014829547067,0.0,296.6114898414983,0.0,306.5487357484168,0.0,298.98318612863727,0.0
near-term Past,1,11.1.3,historical,292.38248015015506,0.0,286.88472232148075,0.0,289.9770607185864,0.0,298.7766025163602,0.0,293.8018711346304,0.0
near-term Past,1,12.1.1,historical,299.6958075515813,0.0,291.4139004678547,0.0,299.14919968066005,0.0,307.49411873381354,0.0,300.57728023196586,0.0
near-term Past,1,12.1.2,historical,299.18367225533166,0.0,293.4067204991779,0.0,300.97318096396805,0.0,303.4852248715139,0.0,298.7544684399615,0.0
near-term Past,1,12.2.1,historical,299.317667686489,0.0,296.6403354203833,0.0,302.2816064101109,0.0,300.0280664997301,0.0,298.2579655235669,0.0
near-term Past,1,13.1.1,historical,293.8635014343849,0.0,284.4794095289037,0.0,293.0065959372799,0.0,303.2838011085361,0.0,294.51186553149927,0.0
near-term Past,1,13.2.1,historical,297.9553816945441,0.0,292.9726496523739,0.0,299.17073048079743,0.0,301.5852537974425,0.0,297.9981101606686,0.0
near-term Past,1,13.3.1,historical,299.7427465329357,0.0,295.9121128893463,0.0,302.47368683779257,0.0,301.94958410777787,0.0,298.54940695818647,0.0
near-term Past,1,13.4.1,historical,296.6591866643767,0.0,294.9825677131212,0.0,299.5071169144031,0.0,296.6048587405878,0.0,295.4975272437757,0.0
near-term Past,1,13.4.2,historical,297.9636001091529,0.0,296.09423421066043,0.0,300.7278229318816,0.0,297.9812425627701,0.0,297.0049468310415,0.0
near-term Past,1,13.5.1,historical,302.0943746776379,0.0,300.7188274282966,0.0,304.02059062245723,0.0,302.1239165749328,0.0,301.48120500305106,0.0
near-term Past,1,13.5.2,historical,300.52572097472193,0.0,299.5916615788974,0.0,302.9272887843302,0.0,299.99458836622676,0.0,299.56100415861846,0.0
near-term Past,1,13.6.1,historical,301.6272890204749,0.0,300.6013628358006,0.0,303.77345159750826,0.0,301.4800596856284,0.0,300.6237630390949,0.0
near-term Past,1,13.6.2,historical,300.62478619857137,0.0,298.66124554897567,0.0,302.7536066193988,0.0,301.11705585119427,0.0,299.9220645479561,0.0
near-term Past,1,14.1.1,historical,304.41189901065246,0.0,299.38045662445194,0.0,306.16366792447207,0.0,308.00038687478656,0.0,304.0024559038342,0.0
near-term Past,1,14.1.2,historical,303.9085260167583,0.0,299.33032030973624,0.0,306.1181334309671,0.0,306.84922232377653,0.0,303.24166508725574,0.0
near-term Past,1,14.2.1,historical,305.1964986604146,0.0,302.39922342194734,0.0,306.7147862597384,0.0,306.99622310912946,0.0,304.6159807198695,0.0
near-term Past,1,14.3.1,historical,306.0394043489165,0.0,301.0001009753427,0.0,306.1498989333992,0.0,309.7576809905994,0.0,307.1658519795466,0.0
near-term Past,1,14.3.2,historical,304.00469142673956,0.0,298.79340872904885,0.0,304.69589278050984,0.0,307.7797989935353,0.0,304.6571410742525,0.0
near-term Past,1,14.4.1,historical,305.9682578356965,0.0,304.65286603511447,0.0,309.16863684218146,0.0,305.3543138250954,0.0,304.6578265257702,0.0
near-term Past,1,14.4.2,historical,304.6727325414603,0.0,303.2182506320765,0.0,307.0211358432112,0.0,304.8010836495452,0.0,303.6111176840958,0.0
near-term Past,1,14.4.3,historical,299.8879044219626,0.0,298.45920480087506,0.0,302.70615247457636,0.0,299.4939438947137,0.0,298.8537656537598,0.0
near-term Past,1,14.5.1,historical,304.7078403179379,0.0,303.31933281111,0.0,306.8300094158395,0.0,304.82159686882096,0.0,303.8242762839898,0.0
near-term Past,1,14.5.2,historical,306.21880548677416,0.0,305.35510924459186,0.0,307.5792845425756,0.0,306.19266632943675,0.0,305.72629855865324,0.0
near-term Past,1,14.6.1,historical,298.4686053953322,0.0,294.12948455555454,0.0,297.01562118144227,0.0,302.48857920573744,0.0,300.1763549194683,0.0
near-term Past,1,15.1.1,historical,305.2691748913681,0.0,301.96981224552746,0.0,307.5323970332853,0.0,306.90550583206016,0.0,304.59862711560595,0.0
near-term Past,1,15.1.2,historical,303.6827086009288,0.0,300.48066340626127,0.0,305.9501058648551,0.0,305.25372501870856,0.0,302.97746592250996,0.0
near-term Past,1,15.2.1,historical,305.8719831862478,0.0,303.23171045538754,0.0,307.7808343900197,0.0,307.46853349276745,0.0,304.9463229009896,0.0
near-term Past,1,15.2.2,historical,304.94840758181766,0.0,302.6917920237604,0.0,306.22926328321626,0.0,306.5067202495134,0.0,304.3158428628682,0.0
near-term Past,1,15.2.3,historical,305.443779066142,0.0,302.73346289261906,0.0,307.39639265898285,0.0,306.8334766932692,0.0,304.7524607983264,0.0
near-term Past,1,15.3.1,historical,302.5304151603102,0.0,299.12083312790037,0.0,305.00479788873145,0.0,304.13634374409776,0.0,301.78642334441156,0.0
near-term Past,1,15.4.1,historical,302.5320842611645,0.0,298.437257478034,0.0,302.30053920946017,0.0,306.04042032604985,0.0,303.27997485164803,0.0
near-term Past,1,15.5.1,historical,304.4512509075896,0.0,301.8371246203786,0.0,304.02876494677884,0.0,306.3178177277366,0.0,305.58363467451744,0.0
near-term Past,1,15.5.2,historical,304.0406546056811,0.0,301.6841297065114,0.0,304.24524226367384,0.0,305.5009503919324,0.0,304.6943554893051,0.0
near-term Past,1,15.6.1,historical,306.0471105824784,0.0,305.3774139689998,0.0,307.93803325235575,0.0,305.74151031659994,0.0,305.1084807467849,0.0
near-term Past,1,2.1.1,historical,258.0359664732212,0.0,243.40450572577603,0.0,252.92838000196073,0.0,276.0813779948841,0.0,259.4654532263816,0.0
near-term Past,1,2.1.2,historical,255.77901350346247,0.0,241.4269877051505,0.0,250.5333371999246,0.0,275.04689605282573,0.0,255.83509734215903,0.0
near-term Past,1,2.1.3,historical,259.0040409070981,0.0,244.17345816743796,0.0,253.8886071856803,0.0,276.74006957715267,0.0,260.9517058205985,0.0
near-term Past,1,2.1.4,historical,259.81648973675306,0.0,244.8373263248652,0.0,255.27273208288187,0.0,277.50670871763714,0.0,261.37985155124335,0.0
near-term Past,1,2.1.5,historical,264.348990061044,0.0,248.8647980005995,0.0,259.52282305978537,0.0,281.40369184996337,0.0,267.3411840014396,0.0
near-term Past,1,2.1.6,historical,263.75972043877834,0.0,250.68676449469606,0.0,258.80005036084816,0.0,278.8098775906851,0.0,266.522322254729,0.0
near-term Past,1,2.1.7,historical,264.51838613674477,0.0,249.82344452718033,0.0,259.74606558378963,0.0,280.7889574524632,0.0,267.46621832968816,0.0
near-term Past,1,2.1.8,historical,261.80270088016186,0.0,246.26204866001882,0.0,256.46110742362947,0.0,279.94867711609766,0.0,264.2687083089857,0.0
near-term Past,1,2.1.9,historical,262.828694970202,0.0,248.09594912488905,0.0,257.6187373245566,0.0,280.18268695859354,0.0,265.1611361413795,0.0
near-term Past,1,2.2.1,historical,267.52533559631536,0.0,253.02167060869593,0.0,264.3727978194025,0.0,283.75886744819746,0.0,268.6833496473128,0.0
near-term Past,1,2.2.2,historical,268.5234276401482,0.0,254.26132776748742,0.0,265.60605574893407,0.0,284.93735263795327,0.0,269.02176476722997,0.0
near-term Past,1,2.2.3,historical,275.0632158388547,0.0,263.7603324725242,0.0,272.8416243099735,0.0,287.6556329004053,0.0,275.7870821702396,0.0
near-term Past,1,2.2.4,historical,272.43361117455095,0.0,260.8755105996871,0.0,269.47450114746346,0.0,285.799600009332,0.0,273.37411763362337,0.0
near-term Past,1,2.2.5,historical,279.0384182633187,0.0,269.3866881886022,0.0,277.8362896086384,0.0,289.44041474405253,0.0,279.30872150152334,0.0
near-term Past,1,2.2.6,historical,279.22768538489925,0.0,275.9601535967715,0.0,276.99488737141724,0.0,282.91677552245363,0.0,280.99568208914536,0.0
near-term Past,1,2.3.1,historical,267.1310621462047,0.0,252.27925662956085,0.0,264.8024249588567,0.0,284.3884810607832,0.0,266.76622144472935,0.0
near-term Past,1,2.4.1,historical,267.1176662975065,0.0,250.30563756452972,0.0,263.3245374886326,0.0,285.6227964891174,0.0,268.91586997505783,0.0
near-term Past,1,2.4.2,historical,266.52313397992714,0.0,248.5179928893937,0.0,262.2967110141526,0.0,285.77492698757885,0.0,269.1876913737118,0.0
near-term Past,1,2.4.3,historical,270.0124444884509,0.0,255.77622563626628,0.0,266.0280443742316,0.0,284.2343910206042,0.0,273.779936300925,0.0
near-term Past,1,2.4.4,historical,263.9610034500201,0.0,246.47472534538633,0.0,259.0525159093392,0.0,283.4362965431897,0.0,266.57462701416813,0.0
