Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_tasmin,Plot_index_Annual_tasmin,Ave25yearSpan_Winter_tasmin,Plot_index_Winter_tasmin,Ave25yearSpan_Spring_tasmin,Plot_index_Spring_tasmin,Ave25yearSpan_Summer_tasmin,Plot_index_Summer_tasmin,Ave25yearSpan_Fall_tasmin,Plot_index_Fall_tasmin
near-term Past,1,0.0.0,historical,274.7312853358368,0.0,261.7651128292155,0.0,273.2863903938215,0.0,286.2941990901076,0.0,277.35996309704547,0.0
near-term Past,1,1.1.1,historical,249.19270490690343,0.0,234.81897465193524,0.0,242.99129610268963,0.0,269.691146056497,0.0,248.99224823034723,0.0
near-term Past,1,1.1.2,historical,257.85156974467907,0.0,245.0227877469773,0.0,252.02412294159762,0.0,272.44401131634635,0.0,261.71189687393957,0.0
near-term Past,1,10.1.1,historical,271.9570010090373,0.0,263.75960025475354,0.0,270.99817775447474,0.0,280.16826696473777,0.0,272.75380008114576,0.0
near-term Past,1,10.1.2,historical,277.7607409921606,0.0,270.5214782839328,0.0,276.9999861467782,0.0,285.58176301717754,0.0,277.80169139066714,0.0
near-term Past,1,10.1.3,historical,273.98489558783706,0.0,266.7673230629551,0.0,272.78722379222137,0.0,282.265966870328,0.0,273.9809504433627,0.0
near-term Past,1,10.1.4,historical,271.7798704488365,0.0,262.1729756667095,0.0,270.7045344805948,0.0,281.59967279260974,0.0,272.46597241136664,0.0
near-term Past,1,10.1.5,historical,274.6004488026267,0.0,266.70324335071933,0.0,273.23448639773426,0.0,283.54506312187596,0.0,274.7697657681135,0.0
near-term Past,1,10.1.6,historical,274.7853577772563,0.0,264.7878117034804,0.0,273.83436068926,0.0,284.98935644872483,0.0,275.34472494229044,0.0
near-term Past,1,10.1.7,historical,275.82858043760524,0.0,266.7120337517679,0.0,274.37793011022427,0.0,285.6687307700385,0.0,276.3872966185409,0.0
near-term Past,1,10.1.8,historical,275.60970653231146,0.0,267.26500932001716,0.0,274.6251600341567,0.0,284.40358868950085,0.0,275.98955923347916,0.0
near-term Past,1,10.2.1,historical,282.62515108997354,0.0,274.90647606427336,0.0,281.12172086868435,0.0,291.1135522336545,0.0,283.21763361150255,0.0
near-term Past,1,10.2.2,historical,286.8939480831708,0.0,279.32589580060926,0.0,284.7016152576908,0.0,295.3269716026472,0.0,288.08952494174974,0.0
near-term Past,1,10.2.3,historical,287.15173747927264,0.0,283.08099191605197,0.0,284.706111449366,0.0,291.75223430384756,0.0,289.0099349135095,0.0
near-term Past,1,10.2.4,historical,283.5402981941894,0.0,275.53034375561055,0.0,283.40067583378647,0.0,291.30643619122714,0.0,283.773032809211,0.0
near-term Past,1,11.1.1,historical,281.85631427376035,0.0,277.6316680269461,0.0,280.50060420029837,0.0,286.4349779522937,0.0,282.7873070830565,0.0
near-term Past,1,11.1.2,historical,283.53649559701904,0.0,278.1774658684269,0.0,282.4917145447109,0.0,289.17619162061936,0.0,284.20536005140656,0.0
near-term Past,1,11.1.3,historical,278.58420951204783,0.0,273.90524995162946,0.0,276.8666549735192,0.0,283.8834842198828,0.0,279.60301231595963,0.0
near-term Past,1,12.1.1,historical,281.4382395957127,0.0,273.4054578011356,0.0,279.6627534110773,0.0,290.5021556678025,0.0,282.0354118978756,0.0
near-term Past,1,12.1.2,historical,281.667214777143,0.0,275.18662076683825,0.0,281.3364233604341,0.0,288.07107980997665,0.0,281.9538744563345,0.0
near-term Past,1,12.2.1,historical,283.4356771543212,0.0,279.29124803220833,0.0,283.8142220113483,0.0,286.7171495713358,0.0,283.8452562177017,0.0
near-term Past,1,13.1.1,historical,276.62444608318765,0.0,268.31656755807694,0.0,274.89561234596283,0.0,285.8908245782748,0.0,277.24256520827174,0.0
near-term Past,1,13.2.1,historical,281.6951275763008,0.0,275.8787925415572,0.0,280.5091888823828,0.0,287.6256437581518,0.0,282.6661709240529,0.0
near-term Past,1,13.3.1,historical,284.584426693903,0.0,280.21262980185776,0.0,285.28760501177413,0.0,288.0342424852951,0.0,284.7210804684738,0.0
near-term Past,1,13.4.1,historical,280.6013539040897,0.0,277.1504129330639,0.0,281.16074611604336,0.0,283.1823824789213,0.0,280.8485429243219,0.0
near-term Past,1,13.4.2,historical,282.7526407296031,0.0,279.25885206493876,0.0,282.6834774870652,0.0,285.50937579134234,0.0,283.500144924469,0.0
near-term Past,1,13.5.1,historical,286.9285136143833,0.0,283.23728322343146,0.0,285.2789896998555,0.0,290.3721991323388,0.0,288.77503848212103,0.0
near-term Past,1,13.5.2,historical,286.26680553664045,0.0,283.7027558393829,0.0,286.60996959665545,0.0,287.88029430638187,0.0,286.83128668326594,0.0
near-term Past,1,13.6.1,historical,288.1105609210137,0.0,285.7141195742902,0.0,288.7045831018945,0.0,289.4466680062335,0.0,288.535648554498,0.0
near-term Past,1,13.6.2,historical,287.5194875609599,0.0,285.4281251706183,0.0,287.8282647744469,0.0,288.755621891229,0.0,288.03149503435407,0.0
near-term Past,1,14.1.1,historical,292.4906514622309,0.0,287.2597606592085,0.0,293.0913253804911,0.0,296.6149092035708,0.0,292.90100171917084,0.0
near-term Past,1,14.1.2,historical,291.6872479288069,0.0,286.8300354283752,0.0,292.4520172305729,0.0,295.31571785802424,0.0,292.062378113296,0.0
near-term Past,1,14.2.1,historical,294.65169677471175,0.0,291.7813724027458,0.0,294.71013668889583,0.0,296.5489330051256,0.0,295.5208821156261,0.0
near-term Past,1,14.3.1,historical,290.5375188744531,0.0,284.319667034727,0.0,287.70071839125256,0.0,297.12469135906383,0.0,292.9118565215645,0.0
near-term Past,1,14.3.2,historical,288.47880146925985,0.0,282.23486300930114,0.0,286.59979505124295,0.0,294.9105620040064,0.0,290.067808369123,0.0
near-term Past,1,14.4.1,historical,290.6384344437678,0.0,287.5428296292293,0.0,291.1178164703949,0.0,292.6053607795549,0.0,291.2349949835683,0.0
near-term Past,1,14.4.2,historical,290.87292223766275,0.0,288.4140024683577,0.0,291.4341591463918,0.0,292.3313091858573,0.0,291.26948844804866,0.0
near-term Past,1,14.4.3,historical,284.5248549754503,0.0,281.5437494927336,0.0,285.25442519480765,0.0,286.36102722955786,0.0,284.88712586777547,0.0
near-term Past,1,14.5.1,historical,292.6124087342348,0.0,290.20942075430077,0.0,293.329382497124,0.0,294.0199589397596,0.0,292.8474574179177,0.0
near-term Past,1,14.5.2,historical,292.7187846392768,0.0,289.98914487328085,0.0,291.64700779541676,0.0,295.0761350606835,0.0,294.125926654103,0.0
near-term Past,1,14.6.1,historical,293.0992759757856,0.0,288.4401524673117,0.0,291.04452451125434,0.0,297.57080949700395,0.0,295.27614802182376,0.0
near-term Past,1,15.1.1,historical,294.7478119346427,0.0,292.0088792804285,0.0,295.29785682222115,0.0,296.4909339755514,0.0,295.14550342140615,0.0
near-term Past,1,15.1.2,historical,292.28962046542074,0.0,289.28752381514147,0.0,292.8872288185617,0.0,294.29989371838775,0.0,292.63010501442375,0.0
near-term Past,1,15.2.1,historical,293.74512040680617,0.0,290.7855770549453,0.0,293.76867420155065,0.0,295.6882111860358,0.0,294.6916906405019,0.0
near-term Past,1,15.2.2,historical,294.65772394249854,0.0,292.0123697351902,0.0,294.3732754752947,0.0,296.528729795373,0.0,295.67699299948555,0.0
near-term Past,1,15.2.3,historical,293.66626640232505,0.0,290.75882087083573,0.0,294.0510309675465,0.0,295.556722385987,0.0,294.2492069986364,0.0
near-term Past,1,15.3.1,historical,292.5144339968061,0.0,289.5738373404699,0.0,293.25170804562777,0.0,294.4183085582567,0.0,292.76029960255045,0.0
near-term Past,1,15.4.1,historical,293.79795539898987,0.0,288.8286395324037,0.0,292.92727607685583,0.0,297.8719285376175,0.0,295.48727443946586,0.0
near-term Past,1,15.5.1,historical,292.9639998906283,0.0,289.10963072565426,0.0,290.591858393213,0.0,296.86812554981395,0.0,295.2373595671601,0.0
near-term Past,1,15.5.2,historical,291.26194042093636,0.0,287.5268311383876,0.0,289.01208768160444,0.0,295.05487953642137,0.0,293.40581201490465,0.0
near-term Past,1,15.6.1,historical,292.8325709389434,0.0,290.7132238290834,0.0,293.47264024651565,0.0,293.91287016495414,0.0,293.194944324703,0.0
near-term Past,1,2.1.1,historical,252.58394995910555,0.0,236.78827456396522,0.0,246.64690918533697,0.0,272.56335340453285,0.0,254.05103107849973,0.0
near-term Past,1,2.1.2,historical,251.33814548105596,0.0,236.29874629940545,0.0,245.27124389669166,0.0,272.40869238122747,0.0,251.0834203502634,0.0
near-term Past,1,2.1.3,historical,254.04643178248293,0.0,238.54923618406266,0.0,247.9234012953613,0.0,273.1286442424049,0.0,256.31260968692044,0.0
near-term Past,1,2.1.4,historical,254.8588446632182,0.0,239.5549574576371,0.0,248.7465391629675,0.0,273.96366399565085,0.0,256.89963047498634,0.0
near-term Past,1,2.1.5,historical,257.9293328592921,0.0,242.0925880344624,0.0,252.0343890647266,0.0,275.13603291513874,0.0,262.1977534851686,0.0
near-term Past,1,2.1.6,historical,257.7497998747307,0.0,244.04884188475336,0.0,251.75164832706034,0.0,273.33895133901837,0.0,261.63993676139836,0.0
near-term Past,1,2.1.7,historical,258.6617482666446,0.0,243.46385521559003,0.0,252.91593533375988,0.0,275.28534314446875,0.0,262.73539584898236,0.0
near-term Past,1,2.1.8,historical,255.52363166732613,0.0,239.33849795126744,0.0,249.07692187094167,0.0,274.37459961829535,0.0,259.0330241543079,0.0
near-term Past,1,2.1.9,historical,256.29466185593503,0.0,240.62982289351467,0.0,250.30841705196576,0.0,274.24685387698145,0.0,259.73123244931645,0.0
near-term Past,1,2.2.1,historical,260.45845141398564,0.0,245.44077321143013,0.0,256.0917186384899,0.0,276.875269514212,0.0,263.16820340435254,0.0
near-term Past,1,2.2.2,historical,260.9737609160519,0.0,246.04247908363948,0.0,256.9599608903321,0.0,277.66825993396856,0.0,262.9602946003903,0.0
near-term Past,1,2.2.3,historical,267.67260864466334,0.0,256.19730601095205,0.0,264.43976751870844,0.0,280.4349150162676,0.0,269.417888942096,0.0
near-term Past,1,2.2.4,historical,265.2061403772765,0.0,252.83110235853792,0.0,261.07411754680504,0.0,279.29043576016414,0.0,267.41618824528393,0.0
near-term Past,1,2.2.5,historical,270.8232939688554,0.0,261.196142163497,0.0,269.1800949144084,0.0,281.1895617478891,0.0,271.55111656504846,0.0
near-term Past,1,2.2.6,historical,275.35219296480125,0.0,271.2026688591888,0.0,272.770234787253,0.0,280.59918007145757,0.0,276.77274674296103,0.0
near-term Past,1,2.3.1,historical,258.45472565516445,0.0,242.81354475936567,0.0,255.420564162472,0.0,275.77675046607254,0.0,259.520404103088,0.0
near-term Past,1,2.4.1,historical,259.4860104539666,0.0,242.55770523937034,0.0,254.5877162949773,0.0,277.29232974485166,0.0,263.2230648543047,0.0
near-term Past,1,2.4.2,historical,258.7734878053342,0.0,240.81632052516258,0.0,253.20027275730894,0.0,277.54991271892465,0.0,263.2323830551219,0.0
near-term Past,1,2.4.3,historical,262.943704226073,0.0,248.23907565923656,0.0,257.9102170164591,0.0,276.66812206635615,0.0,268.7390895431032,0.0
near-term Past,1,2.4.4,historical,256.64284541406016,0.0,239.00851529557653,0.0,250.41040339583935,0.0,276.059747859852,0.0,260.8005552003834,0.0
near-term Past,1,3.1.1,historical,264.3072973408466,0.0,249.1665431569231,0.0,262.519214376002,0.0,280.2729854544819,0.0,264.98819826247865,0.0
near-term Past,1,3.1.2,historical,266.1517322656164,0.0,251.00281193266943,0.0,264.95670716041775,0.0,281.8455378424538,0.0,266.5160264134665,0.0
near-term Past,1,3.1.3,historical,264.41326201476716,0.0,247.21442186966,0.0,263.6227362421425,0.0,281.94752393704715,0.0,264.5407302447253,0.0
near-term Past,1,3.2.1,historical,260.34742959465,0.0,243.2342550859806,0.0,258.81167960003745,0.0,277.70504568720924,0.0,261.32194812927906,0.0
near-term Past,1,3.2.2,historical,260.1949269652657,0.0,243.6167835468096,0.0,258.9957258315876,0.0,276.57853031128843,0.0,261.28335178444996,0.0
near-term Past,1,3.2.3,historical,262.19866158547796,0.0,244.5242213862162,0.0,260.74939252652223,0.0,279.78762641897805,0.0,263.4084360066131,0.0
near-term Past,1,3.3.1,historical,262.28183901183445,0.0,243.81402418562703,0.0,259.79878608422354,0.0,280.61447662438627,0.0,264.57166119757505,0.0
near-term Past,1,3.3.2,historical,266.3658249808749,0.0,249.25193284923301,0.0,265.9702692730767,0.0,281.82473333858763,0.0,268.10790390578956,0.0
near-term Past,1,3.4.1,historical,262.07106807808896,0.0,243.46235333590218,0.0,258.48457397959754,0.0,280.03697317054775,0.0,265.9869428790773,0.0
near-term Past,1,3.4.2,historical,264.71262615627046,0.0,248.34312154860993,0.0,260.8254959487605,0.0,279.55727647628714,0.0,269.8674859963218,0.0
near-term Past,1,3.4.3,historical,265.7390254111429,0.0,251.09170391825126,0.0,262.7927397474599,0.0,279.384371408573,0.0,269.44738520030563,0.0
near-term Past,1,3.4.4,historical,264.0189034001082,0.0,248.59195137569242,0.0,260.10965297733935,0.0,278.4201706310979,0.0,268.70970124985485,0.0
near-term Past,1,3.4.5,historical,262.77562053852466,0.0,244.0857316052237,0.0,259.40999367132247,0.0,280.6926163509459,0.0,266.5981439932601,0.0
near-term Past,1,4.1.1,historical,264.6718724586659,0.0,246.61794391270223,0.0,261.10789605774005,0.0,280.98280792580994,0.0,269.6879854025745,0.0
near-term Past,1,4.1.2,historical,266.5819077264981,0.0,248.83484886327477,0.0,263.91540793561467,0.0,282.0538771213838,0.0,271.2345603446198,0.0
near-term Past,1,5.1.1,historical,266.3712639746391,0.0,248.20662118384598,0.0,265.253193429498,0.0,282.6051133444816,0.0,269.10231577209663,0.0
near-term Past,1,5.1.2,historical,268.8726445928183,0.0,251.43880791708244,0.0,267.80909015858464,0.0,283.7122619966191,0.0,272.23343171829333,0.0
near-term Past,1,5.1.3,historical,268.1169134324928,0.0,252.96868080747583,0.0,266.0424207248905,0.0,281.64736963816307,0.0,271.5567801386387,0.0
near-term Past,1,5.1.4,historical,273.223943877877,0.0,263.45896275112705,0.0,270.3075213213857,0.0,282.9946574727899,0.0,275.97775839813113,0.0
near-term Past,1,5.1.5,historical,267.02032036280457,0.0,248.62586989702606,0.0,265.01822055442875,0.0,283.32698840576427,0.0,270.7993855545642,0.0
near-term Past,1,5.1.6,historical,268.17715746100566,0.0,251.48426047742848,0.0,266.4399563902915,0.0,282.27619093290525,0.0,272.2329645257194,0.0
near-term Past,1,5.2.1,historical,272.2929163184041,0.0,257.6375234438858,0.0,271.51156405532487,0.0,284.94554911722304,0.0,274.82417833717847,0.0
near-term Past,1,5.2.2,historical,271.1218875266776,0.0,254.5779256993924,0.0,271.00996221545404,0.0,284.98690977445193,0.0,273.62345013251866,0.0
near-term Past,1,5.2.3,historical,271.1483711409465,0.0,255.93750730449239,0.0,269.84592665423577,0.0,284.16155542091826,0.0,274.39276994997516,0.0
near-term Past,1,5.3.1,historical,273.3572562156641,0.0,260.60474592021313,0.0,271.7083298589757,0.0,285.13409563591296,0.0,275.7640532180152,0.0
near-term Past,1,5.3.3,historical,276.2260739270467,0.0,265.0632523222571,0.0,274.77436768472074,0.0,286.95155966298614,0.0,277.9199784128023,0.0
near-term Past,1,5.4.1,historical,268.6796036407747,0.0,252.80988864298703,0.0,268.8076557078425,0.0,282.41900901157567,0.0,270.3969332794168,0.0
near-term Past,1,5.4.2,historical,268.71457484462195,0.0,255.93058100728223,0.0,268.72970942293534,0.0,280.16004145662174,0.0,269.80525939816835,0.0
near-term Past,1,5.4.3,historical,269.0443950222424,0.0,251.43086200302153,0.0,268.3382790286616,0.0,284.333918866388,0.0,271.76716092776456,0.0
near-term Past,1,6.1.1,historical,262.54610592591405,0.0,246.36258514728527,0.0,261.8334010589779,0.0,278.9105782149244,0.0,262.77070276363537,0.0
near-term Past,1,6.1.2,historical,264.45451440876667,0.0,251.80850844974,0.0,263.6394080875407,0.0,277.89227294687856,0.0,264.23354269216304,0.0
near-term Past,1,6.1.3,historical,265.99860288230934,0.0,251.94843751563036,0.0,266.0463679956256,0.0,279.9460796988012,0.0,265.7823904113946,0.0
near-term Past,1,6.1.4,historical,261.47302157642144,0.0,249.06407367587087,0.0,260.6779864766837,0.0,274.0192558745988,0.0,261.89800105212726,0.0
near-term Past,1,6.1.5,historical,264.18588384963067,0.0,248.46727966158946,0.0,264.1398385529787,0.0,278.3892866346321,0.0,265.4602789375504,0.0
near-term Past,1,6.1.6,historical,266.1231984115853,0.0,254.46380737247932,0.0,265.3657245832577,0.0,276.96613522820337,0.0,267.4889220648402,0.0
near-term Past,1,6.2.1,historical,269.2361959184598,0.0,258.74875048538905,0.0,268.46752119391,0.0,278.973169992444,0.0,270.5692018056284,0.0
near-term Past,1,6.2.10,historical,270.8344629117232,0.0,261.97143891427055,0.0,269.75618791453496,0.0,280.03024685887857,0.0,271.4167537043951,0.0
near-term Past,1,6.2.11,historical,277.8407317720944,0.0,273.56349836520565,0.0,276.2270694075745,0.0,283.0934296334308,0.0,278.40321833177046,0.0
near-term Past,1,6.2.12,historical,274.05894312505137,0.0,268.6602004507816,0.0,272.4559376497107,0.0,280.5565561345843,0.0,274.4642029687922,0.0
near-term Past,1,6.2.13,historical,270.470830724821,0.0,261.77992135894914,0.0,269.1472559156967,0.0,279.522790476436,0.0,271.275844422262,0.0
near-term Past,1,6.2.14,historical,268.1237477565042,0.0,258.66966196307845,0.0,267.00266892930694,0.0,277.6982565635734,0.0,268.9525515350813,0.0
near-term Past,1,6.2.15,historical,272.2377616183213,0.0,264.9412026302289,0.0,270.80241113693336,0.0,280.38606012176155,0.0,272.68666562993303,0.0
near-term Past,1,6.2.2,historical,270.4598049378748,0.0,261.31033300793484,0.0,269.5852840438021,0.0,279.00454256326,0.0,271.7783588683916,0.0
near-term Past,1,6.2.3,historical,272.12453681054336,0.0,264.1582655084701,0.0,271.096582612029,0.0,280.4262086967152,0.0,272.6706279647698,0.0
near-term Past,1,6.2.4,historical,268.47843784057113,0.0,259.3676722092182,0.0,267.5279000507854,0.0,277.4528858806737,0.0,269.40102847292434,0.0
near-term Past,1,6.2.5,historical,273.6490294471261,0.0,267.25376093864224,0.0,272.438205185859,0.0,280.45672181531785,0.0,274.3325147698571,0.0
near-term Past,1,6.2.6,historical,270.47565163223936,0.0,257.4917451373229,0.0,270.5508072699671,0.0,282.3794334627234,0.0,271.24054696219304,0.0
near-term Past,1,6.2.7,historical,275.85042549498746,0.0,270.6462251158188,0.0,274.3549239226006,0.0,281.97130212695697,0.0,276.334958865697,0.0
near-term Past,1,6.2.8,historical,274.7730771631259,0.0,268.71023534507407,0.0,273.29732653191036,0.0,281.97918298736533,0.0,274.99195812909073,0.0
near-term Past,1,6.2.9,historical,275.3051993748907,0.0,268.69925365981203,0.0,273.9645747019042,0.0,283.0027569847845,0.0,275.42918521151955,0.0
near-term Past,1,7.1.1,historical,268.1546277872713,0.0,256.9972209030742,0.0,265.97658241624254,0.0,280.2487981985181,0.0,269.19375848540193,0.0
near-term Past,1,7.1.2,historical,271.95816033323524,0.0,264.8086820951325,0.0,269.9825999857498,0.0,280.15467972830584,0.0,272.75860740827426,0.0
near-term Past,1,7.1.3,historical,270.845590140108,0.0,260.3725813949024,0.0,269.95648698632374,0.0,282.1143739765583,0.0,270.73738889133966,0.0
near-term Past,1,7.1.4,historical,267.8612150051642,0.0,258.15069807151474,0.0,266.8419562739472,0.0,277.72910688479305,0.0,268.5447622407536,0.0
near-term Past,1,7.1.5,historical,275.94258359048575,0.0,269.86672160552916,0.0,274.4893628188429,0.0,282.3184740404979,0.0,276.99093716315065,0.0
near-term Past,1,7.1.6,historical,273.31064392832263,0.0,266.73749977619076,0.0,271.7683491806809,0.0,280.1406476550976,0.0,274.4830758207195,0.0
near-term Past,1,7.1.7,historical,278.8928695930766,0.0,274.09315684528593,0.0,277.52464827264595,0.0,284.2239348153446,0.0,279.6461051907865,0.0
near-term Past,1,7.1.8,historical,279.58400378967605,0.0,276.03649994721206,0.0,278.22476740039235,0.0,283.68006367227304,0.0,280.33498165076537,0.0
near-term Past,1,7.1.9,historical,279.7428932590463,0.0,275.3173342072856,0.0,278.4389895525514,0.0,284.8600682124884,0.0,280.2763162712633,0.0
near-term Past,1,8.1.1,historical,275.13719855018473,0.0,262.0038631603562,0.0,273.75252609663164,0.0,286.9851748254328,0.0,277.5825637587802,0.0
near-term Past,1,8.1.10,historical,277.6828675032581,0.0,266.582631112558,0.0,276.3179938935912,0.0,288.28825694974876,0.0,279.34833865610403,0.0
near-term Past,1,8.1.2,historical,277.3241384275124,0.0,265.8547299019262,0.0,275.6462650043349,0.0,288.2236710668906,0.0,279.37476235562707,0.0
near-term Past,1,8.1.3,historical,276.0009265536722,0.0,264.4572510947841,0.0,274.51351410812185,0.0,286.95776053335675,0.0,277.8747121830096,0.0
near-term Past,1,8.1.4,historical,274.0989631678085,0.0,259.3425952124949,0.0,273.8536558522374,0.0,286.9548151691031,0.0,275.9829690271594,0.0
near-term Past,1,8.1.5,historical,275.81272258694156,0.0,261.56255671695254,0.0,275.7106175861461,0.0,288.2152912494281,0.0,277.50824249059235,0.0
near-term Past,1,8.1.6,historical,277.5961903241455,0.0,266.018106939815,0.0,276.4692162091997,0.0,288.531040554999,0.0,279.16192265313975,0.0
near-term Past,1,8.1.7,historical,278.1062111644048,0.0,266.67445380539925,0.0,276.47103914118003,0.0,289.1780200489707,0.0,279.9021583383968,0.0
near-term Past,1,8.1.8,historical,273.1851664555719,0.0,260.0532794483388,0.0,271.67333244844144,0.0,285.1492620329032,0.0,275.64025897287115,0.0
near-term Past,1,8.1.9,historical,273.6066656564381,0.0,260.81520953210196,0.0,271.5672273141094,0.0,285.5154055334044,0.0,276.3135366396628,0.0
near-term Past,1,8.2.1,historical,276.2412177031467,0.0,262.9315704032595,0.0,275.5471879206473,0.0,288.2030451746868,0.0,278.0480878674333,0.0
near-term Past,1,8.2.2,historical,277.58783659568934,0.0,265.95279067821,0.0,276.2567946235753,0.0,288.61880333967827,0.0,279.319193349325,0.0
near-term Past,1,8.2.3,historical,278.60636528021007,0.0,266.0090880943419,0.0,278.33364815312717,0.0,290.0299171660257,0.0,279.8250630324004,0.0
near-term Past,1,8.2.4,historical,278.79601572417465,0.0,267.1574446963861,0.0,278.17862439438215,0.0,289.7024178626226,0.0,279.93530863792563,0.0
near-term Past,1,8.3.1,historical,280.1123319907706,0.0,269.2583360084531,0.0,278.8236128024189,0.0,290.86820804336793,0.0,281.30448766037205,0.0
near-term Past,1,8.3.2,historical,280.54401101973247,0.0,268.51834690713997,0.0,280.49466740558387,0.0,291.58816730209014,0.0,281.3536062290195,0.0
near-term Past,1,8.3.3,historical,281.39957042858487,0.0,270.7591220577627,0.0,280.97958109373786,0.0,291.68687315197093,0.0,281.97540811251235,0.0
near-term Past,1,8.3.4,historical,283.1891182611362,0.0,273.51474548451887,0.0,282.4065071881963,0.0,292.88224261574123,0.0,283.7742630682652,0.0
near-term Past,1,8.3.5,historical,285.05250848444723,0.0,275.83515950965415,0.0,284.4659555959981,0.0,294.1879446436011,0.0,285.5500503589581,0.0
near-term Past,1,8.3.6,historical,284.83726842855873,0.0,275.04976291352835,0.0,284.67076751034625,0.0,294.3122700815615,0.0,285.1322401876317,0.0
near-term Past,1,8.3.7,historical,286.2310173755798,0.0,276.71990015836235,0.0,285.9343584990567,0.0,295.4897744464874,0.0,286.60211829644055,0.0
near-term Past,1,8.3.8,historical,287.237784664888,0.0,277.91540841005803,0.0,287.18064367629097,0.0,295.8736789342631,0.0,287.80927841658325,0.0
near-term Past,1,8.4.1,historical,279.9724949155892,0.0,269.65334172455,0.0,279.04844934375154,0.0,290.1680649800404,0.0,280.83205679074234,0.0
near-term Past,1,8.4.2,historical,279.1344029495683,0.0,268.75218068699604,0.0,278.25501772376214,0.0,289.3578464121614,0.0,279.9831763472621,0.0
near-term Past,1,8.4.3,historical,279.0132264479948,0.0,268.3282901996015,0.0,278.0394005300826,0.0,289.4633947152288,0.0,280.0284478866474,0.0
near-term Past,1,8.4.4,historical,279.8050115157307,0.0,270.371566203293,0.0,278.98275053185023,0.0,289.30454475415786,0.0,280.38704511546786,0.0
near-term Past,1,8.4.5,historical,281.60549803627435,0.0,270.3334248426215,0.0,281.45466879030835,0.0,292.24196642595786,0.0,282.18256489092505,0.0
near-term Past,1,8.4.6,historical,282.78379755013,0.0,272.05936261349876,0.0,282.5274269368491,0.0,293.0292600456528,0.0,283.31980365469417,0.0
near-term Past,1,8.4.7,historical,283.9797728342362,0.0,273.14519603122676,0.0,283.7882674005611,0.0,294.36241849173666,0.0,284.4207322860123,0.0
near-term Past,1,8.4.8,historical,284.03345240723195,0.0,273.49792629511757,0.0,283.77872610021217,0.0,294.1457843774298,0.0,284.51505850992237,0.0
near-term Past,1,8.4.9,historical,282.5258149302075,0.0,272.788745514848,0.0,281.9023383998429,0.0,292.24764905706695,0.0,282.9832242177297,0.0
near-term Past,1,8.5.1,historical,284.3098604410883,0.0,274.6133784364837,0.0,283.16151842044917,0.0,293.9757749698473,0.0,285.31418863173093,0.0
near-term Past,1,8.5.2,historical,285.7081001870566,0.0,275.9395184702404,0.0,285.56205238375486,0.0,295.1498000360572,0.0,285.9972960763005,0.0
near-term Past,1,8.5.3,historical,289.15716376965526,0.0,281.9157928750407,0.0,288.2071419830685,0.0,295.8766806614917,0.0,290.50516113061167,0.0
near-term Past,1,8.5.4,historical,280.71675641370945,0.0,269.97413762888806,0.0,278.9721325624226,0.0,291.4834696525076,0.0,282.2484233971296,0.0
near-term Past,1,9.2.1,historical,271.3902002121466,0.0,256.1685547118677,0.0,271.54265342408155,0.0,284.81322075641674,0.0,272.7600650953808,0.0
near-term Past,1,9.2.2,historical,271.6183124516714,0.0,254.96205193862872,0.0,271.66815231430655,0.0,285.9066665200824,0.0,273.6397092323387,0.0
near-term Past,1,9.2.3,historical,276.8256155275029,0.0,262.8155019261182,0.0,276.8114532637762,0.0,289.5307257515451,0.0,277.88831265980997,0.0
near-term Past,1,9.2.4,historical,280.3119306799572,0.0,267.6301959471019,0.0,280.2619473704509,0.0,291.98938427489736,0.0,281.1325073396598,0.0
near-term Past,1,9.3.1,historical,271.9704441822725,0.0,258.24476620420575,0.0,272.0100063367781,0.0,284.40516795158385,0.0,272.9701241355647,0.0
near-term Past,1,9.3.3,historical,273.9323035369429,0.0,261.68595486243527,0.0,273.3934537722383,0.0,285.93059637302935,0.0,274.4910039965082,0.0
near-term Past,1,9.3.4,historical,275.11388814850585,0.0,262.8363969732715,0.0,274.5117679726237,0.0,287.6302918803173,0.0,275.24363228595263,0.0
near-term Past,1,9.4.1,historical,278.3165510366438,0.0,267.7175693149172,0.0,277.56362969789575,0.0,289.32624274751413,0.0,278.45753165569147,0.0
near-term Past,1,9.4.2,historical,280.8186669665261,0.0,268.77866513366916,0.0,280.5013627585507,0.0,292.5588239765167,0.0,281.20973628093947,0.0
near-term Past,1,9.4.3,historical,279.10740846294664,0.0,268.8053262090876,0.0,278.3191685614652,0.0,289.7223570802937,0.0,279.38875682260164,0.0
near-term Past,1,9.4.4,historical,280.8090027682637,0.0,268.2408974165957,0.0,280.6470442802883,0.0,292.623839883597,0.0,281.4912114849406,0.0
near-term Past,1,9.4.5,historical,284.7293985753408,0.0,273.89528357050904,0.0,284.54545496842456,0.0,295.02419758630833,0.0,285.2510671562562,0.0
near-term Past,1,9.4.6,historical,285.60775260452033,0.0,275.95546157597715,0.0,285.836741621091,0.0,294.30201974205346,0.0,286.15811717856633,0.0
near-term Past,1,9.4.7,historical,286.63286765496525,0.0,276.72729595708165,0.0,286.4936311741406,0.0,295.9199412536621,0.0,287.2073487008199,0.0
