Year,Ecoregion,Scenario,CDDMmean,CDDMmean_min,CDDMmean_min_model,CDDMmean_max,CDDMmean_max_model,CDDMmax,CDDMmax_min,CDDMmax_min_model,CDDMmax_max,CDDMmax_max_model
1951,0.0.0,historical,108.35543814386699,92.15202409880568,CNRM-ESM2-1,120.98619531904008,ACCESS-CM2,140.59478721618734,124.56093052455437,CNRM-ESM2-1,149.97195777893145,EC-Earth3
1952,0.0.0,historical,101.30722676912997,34.366776016780655,CNRM-ESM2-1,161.1585907118668,ACCESS-CM2,128.34524668284905,65.70452919006415,CNRM-ESM2-1,196.27304694312053,ACCESS-CM2
1953,0.0.0,historical,96.5618019966857,46.031684139796994,CNRM-ESM2-1,123.43821811676086,ACCESS-CM2,121.30435053053425,75.25964779172678,CNRM-ESM2-1,145.45243278231015,EC-Earth3
1954,0.0.0,historical,56.65293347040849,44.30854629789109,ACCESS-CM2,77.56652442387228,EC-Earth3,78.37023768197973,72.7243639673509,CNRM-ESM2-1,82.20244379043643,EC-Earth3
1955,0.0.0,historical,72.97586943308555,49.2783594948908,CNRM-ESM2-1,87.17541916029849,EC-Earth3,100.06126715796397,75.54400630678492,CNRM-ESM2-1,123.75558004379351,EC-Earth3
1956,0.0.0,historical,61.43962430613425,37.65880679403072,CNRM-ESM2-1,101.60382572582851,ACCESS-CM2,96.07547468457967,65.8566906656544,CNRM-ESM2-1,144.67318605695536,ACCESS-CM2
1957,0.0.0,historical,77.07478906200089,65.50570257731883,ACCESS-CM2,89.90780836173516,CNRM-ESM2-1,113.20966926756421,98.94982951028064,ACCESS-CM2,138.58623745782103,CNRM-ESM2-1
1958,0.0.0,historical,83.21573475656108,68.23158020292053,CNRM-ESM2-1,91.80751677240708,EC-Earth3,122.38392514274312,113.3493776593896,CNRM-ESM2-1,129.57808769771125,EC-Earth3
1959,0.0.0,historical,116.85595214480509,89.23579017775458,ACCESS-CM2,152.494485051292,EC-Earth3,155.6196282341375,100.61471676145356,ACCESS-CM2,206.10000494548345,EC-Earth3
1960,0.0.0,historical,129.86144520782355,106.22579962866712,EC-Earth3,166.9821309532447,CNRM-ESM2-1,177.05831186203827,148.0272910254352,EC-Earth3,223.55022062574227,CNRM-ESM2-1
1961,0.0.0,historical,153.38955426897394,44.3699969972886,CNRM-ESM2-1,299.59109230041616,ACCESS-CM2,174.09375043142506,59.46074134281744,CNRM-ESM2-1,323.2687028203706,ACCESS-CM2
1962,0.0.0,historical,107.34470686685529,24.912402262006715,CNRM-ESM2-1,156.42905311584553,EC-Earth3,139.40323796499422,49.78010943276586,CNRM-ESM2-1,192.862067576818,EC-Earth3
1963,0.0.0,historical,110.02272463980233,40.192878777640544,ACCESS-CM2,151.61723919596074,CNRM-ESM2-1,141.01941394351851,56.52918321064588,ACCESS-CM2,186.8741613933026,EC-Earth3
1964,0.0.0,historical,92.88476760273939,33.00825928279368,CNRM-ESM2-1,164.18842086110865,ACCESS-CM2,122.48125499089632,53.18712910243499,CNRM-ESM2-1,193.3318338121696,ACCESS-CM2
1965,0.0.0,historical,100.92756032716723,62.80743852342922,EC-Earth3,146.4027118887229,CNRM-ESM2-1,129.36830821264437,67.65051370348301,EC-Earth3,200.05408288410848,CNRM-ESM2-1
1966,0.0.0,historical,71.1873939888822,36.52477674824879,ACCESS-CM2,113.26230638367848,CNRM-ESM2-1,102.12329765501534,66.38081674575848,ACCESS-CM2,155.97633912222804,CNRM-ESM2-1
1967,0.0.0,historical,59.518775229227366,33.70938462529888,ACCESS-CM2,83.12428920609662,CNRM-ESM2-1,88.4203147070754,64.7497041838514,ACCESS-CM2,113.41010833467824,CNRM-ESM2-1
1968,0.0.0,historical,92.39361532642774,15.046628986086322,CNRM-ESM2-1,169.2239706584393,EC-Earth3,112.19515392212702,19.4213264329095,CNRM-ESM2-1,204.1118265833183,EC-Earth3
1969,0.0.0,historical,68.41460557665188,53.71388663564443,CNRM-ESM2-1,81.48072383063234,EC-Earth3,85.93079448881663,69.17911069052607,CNRM-ESM2-1,106.1552840096617,EC-Earth3
1970,0.0.0,historical,75.10462484586857,43.18553986549424,CNRM-ESM2-1,106.19063252721574,EC-Earth3,97.75962099801995,56.53072015217436,CNRM-ESM2-1,139.0949735641488,EC-Earth3
1971,0.0.0,historical,109.94474272728024,94.32683148384142,ACCESS-CM2,140.8144341809416,CNRM-ESM2-1,151.89326180049432,129.01245264325902,EC-Earth3,192.12983747209907,CNRM-ESM2-1
1972,0.0.0,historical,109.01036381040359,59.70991782460934,EC-Earth3,141.02577239445347,ACCESS-CM2,147.62517629351015,78.66088966642168,EC-Earth3,183.8533225059519,ACCESS-CM2
1973,0.0.0,historical,106.07452645301875,65.79311182158374,EC-Earth3,185.99305040495813,ACCESS-CM2,123.50695434297909,82.3199309757783,EC-Earth3,202.0683059828632,ACCESS-CM2
1974,0.0.0,historical,80.05207823571756,45.85006476129841,CNRM-ESM2-1,130.63508271489894,EC-Earth3,111.09910446802844,75.22062627247458,CNRM-ESM2-1,174.04486774717154,EC-Earth3
1975,0.0.0,historical,136.653118798847,103.48429343359862,ACCESS-CM2,197.8016643251701,EC-Earth3,182.25744168417887,135.6758440153948,CNRM-ESM2-1,269.2946442331599,EC-Earth3
1976,0.0.0,historical,123.97159928140242,17.108569949013976,CNRM-ESM2-1,292.80343405859924,ACCESS-CM2,140.08628965105402,36.92275120871432,CNRM-ESM2-1,308.5510000092657,ACCESS-CM2
1977,0.0.0,historical,128.1985849312381,83.01051950454766,CNRM-ESM2-1,163.32450553349173,EC-Earth3,146.47519158408844,120.72546235493324,CNRM-ESM2-1,178.94021370751616,EC-Earth3
1978,0.0.0,historical,80.59538302421628,70.60122089386039,ACCESS-CM2,89.87753308841222,CNRM-ESM2-1,109.40937063126414,90.82260885238716,ACCESS-CM2,134.99674681254882,CNRM-ESM2-1
1979,0.0.0,historical,116.54324359893872,105.70840451376851,EC-Earth3,123.30701383863246,ACCESS-CM2,150.12957959856402,120.015083844322,EC-Earth3,179.055086353848,CNRM-ESM2-1
1980,0.0.0,historical,110.5477235703248,93.02961789539935,ACCESS-CM2,126.4217763628287,CNRM-ESM2-1,137.72053004219504,130.54161352430154,ACCESS-CM2,145.17172925131743,EC-Earth3
1981,0.0.0,historical,99.04806662287085,75.52551326751745,ACCESS-CM2,112.01133655139444,CNRM-ESM2-1,131.52312360037013,111.7473620959696,ACCESS-CM2,148.53468918119248,CNRM-ESM2-1
1982,0.0.0,historical,59.99403013047756,38.30407603808841,ACCESS-CM2,71.2408014842446,EC-Earth3,82.07189434142391,58.60086866106352,ACCESS-CM2,110.65133297784053,CNRM-ESM2-1
1983,0.0.0,historical,91.91855276652802,65.04314665794422,CNRM-ESM2-1,123.7733358928142,ACCESS-CM2,110.3694155011866,83.20371736799032,CNRM-ESM2-1,144.3278781754639,ACCESS-CM2
1984,0.0.0,historical,71.32291877837444,24.199274935041306,CNRM-ESM2-1,123.20477110999026,ACCESS-CM2,95.09015631448706,43.15456211907544,CNRM-ESM2-1,149.95395819800314,ACCESS-CM2
1985,0.0.0,historical,83.40841551281214,60.18937275069147,ACCESS-CM2,121.7373456750605,CNRM-ESM2-1,104.41318145025417,72.46769579478735,ACCESS-CM2,152.05425641196206,CNRM-ESM2-1
1986,0.0.0,historical,112.45431140263935,47.5961947917942,EC-Earth3,153.2943523883826,ACCESS-CM2,127.56493348621257,64.04439494269289,EC-Earth3,161.63419137682305,ACCESS-CM2
1987,0.0.0,historical,117.8226178101137,78.05619102205593,EC-Earth3,141.96867553847252,CNRM-ESM2-1,141.6241714114242,81.12370090484673,EC-Earth3,173.26859941482624,CNRM-ESM2-1
1988,0.0.0,historical,122.51874304726078,106.27639689445552,ACCESS-CM2,142.72010735103137,CNRM-ESM2-1,167.81824841726484,148.7273256710605,ACCESS-CM2,191.6989770753053,CNRM-ESM2-1
1989,0.0.0,historical,92.67688033694365,60.08737312725653,EC-Earth3,142.28837717601309,CNRM-ESM2-1,125.0165182476959,83.33931044169887,EC-Earth3,195.3529436792656,CNRM-ESM2-1
1990,0.0.0,historical,78.72726976190347,51.97408200672732,ACCESS-CM2,119.13934718200208,EC-Earth3,99.87460058303172,56.706122916085846,ACCESS-CM2,169.5896681240635,EC-Earth3
1991,0.0.0,historical,86.35436738445696,65.22514576911972,CNRM-ESM2-1,111.85967906883842,EC-Earth3,115.976191066561,88.38506734030643,CNRM-ESM2-1,154.79359466007855,EC-Earth3
1992,0.0.0,historical,96.57205673853616,57.941982385090895,ACCESS-CM2,155.98876581192098,CNRM-ESM2-1,133.3361539931532,83.94925937652654,ACCESS-CM2,214.1836558069512,CNRM-ESM2-1
1993,0.0.0,historical,98.56197987511104,72.02815017019043,EC-Earth3,138.32619910240257,CNRM-ESM2-1,126.49210567020312,94.96136980056824,EC-Earth3,187.5140663010744,CNRM-ESM2-1
