Year,Ecoregion,Scenario,TRCmax,TRCmax_min,TRCmax_min_model,TRCmax_max,TRCmax_max_model,TRCmaxmin,TRCmaxmin_min,TRCmaxmin_min_model,TRCmaxmin_max,TRCmaxmin_max_model
1951,0.0.0,historical,8.060267857142858,7.25,ACCESS-CM2,9.256696428571429,CNRM-ESM2-1,29.45907738095238,28.098214285714285,EC-Earth3,31.395089285714285,CNRM-ESM2-1
1952,0.0.0,historical,8.345982142857142,7.595982142857143,EC-Earth3,9.767857142857142,CNRM-ESM2-1,27.097470238095237,25.100446428571427,EC-Earth3,28.169642857142858,CNRM-ESM2-1
1953,0.0.0,historical,6.48735119047619,5.667410714285714,CNRM-ESM2-1,6.930803571428571,EC-Earth3,23.327380952380953,21.263392857142858,CNRM-ESM2-1,24.446428571428573,EC-Earth3
1954,0.0.0,historical,6.6934523809523805,4.767857142857143,CNRM-ESM2-1,7.919642857142857,ACCESS-CM2,18.923363095238095,12.897321428571429,CNRM-ESM2-1,23.870535714285715,EC-Earth3
1955,0.0.0,historical,7.44047619047619,5.926339285714286,CNRM-ESM2-1,9.600446428571429,EC-Earth3,22.720982142857142,16.486607142857142,CNRM-ESM2-1,30.236607142857142,EC-Earth3
1956,0.0.0,historical,8.336309523809524,7.274553571428571,CNRM-ESM2-1,9.517857142857142,ACCESS-CM2,26.61086309523809,20.299107142857142,EC-Earth3,32.276785714285715,ACCESS-CM2
1957,0.0.0,historical,8.441220238095239,6.9375,CNRM-ESM2-1,9.560267857142858,EC-Earth3,23.18452380952381,20.899553571428573,ACCESS-CM2,25.196428571428573,CNRM-ESM2-1
1958,0.0.0,historical,9.414434523809524,8.524553571428571,CNRM-ESM2-1,10.569196428571429,EC-Earth3,30.2641369047619,25.245535714285715,CNRM-ESM2-1,36.27901785714285,EC-Earth3
1959,0.0.0,historical,8.551339285714285,7.03125,ACCESS-CM2,10.267857142857142,EC-Earth3,30.901041666666668,27.904017857142858,ACCESS-CM2,33.073660714285715,CNRM-ESM2-1
1960,0.0.0,historical,8.785714285714286,8.055803571428571,ACCESS-CM2,9.5625,EC-Earth3,33.53125,24.058035714285715,ACCESS-CM2,39.88169642857143,CNRM-ESM2-1
1961,0.0.0,historical,7.372767857142857,4.604910714285714,CNRM-ESM2-1,9.868303571428571,EC-Earth3,29.906994047619047,15.618303571428571,CNRM-ESM2-1,39.10714285714285,EC-Earth3
1962,0.0.0,historical,8.503720238095239,7.310267857142857,EC-Earth3,10.419642857142858,ACCESS-CM2,28.953125,19.198660714285715,CNRM-ESM2-1,34.85267857142857,ACCESS-CM2
1963,0.0.0,historical,7.717261904761905,7.158482142857143,ACCESS-CM2,8.549107142857142,EC-Earth3,25.91071428571429,19.149553571428573,ACCESS-CM2,31.542410714285715,CNRM-ESM2-1
1964,0.0.0,historical,8.194940476190476,7.645089285714286,ACCESS-CM2,8.491071428571429,CNRM-ESM2-1,25.16220238095238,23.390625,CNRM-ESM2-1,27.785714285714285,ACCESS-CM2
1965,0.0.0,historical,7.595238095238095,5.984375,EC-Earth3,10.064732142857142,CNRM-ESM2-1,28.987351190476186,19.890625,EC-Earth3,43.06026785714285,CNRM-ESM2-1
1966,0.0.0,historical,6.230654761904762,5.638392857142857,CNRM-ESM2-1,7.285714285714286,ACCESS-CM2,21.89508928571429,17.636160714285715,ACCESS-CM2,30.345982142857142,CNRM-ESM2-1
1967,0.0.0,historical,7.0215773809523805,5.801339285714286,CNRM-ESM2-1,7.950892857142857,ACCESS-CM2,21.90848214285714,17.850446428571427,ACCESS-CM2,25.441964285714285,CNRM-ESM2-1
1968,0.0.0,historical,6.605654761904762,4.25,CNRM-ESM2-1,8.602678571428571,EC-Earth3,20.112351190476193,9.082589285714286,CNRM-ESM2-1,31.089285714285715,EC-Earth3
1969,0.0.0,historical,7.191964285714286,4.640625,CNRM-ESM2-1,9.372767857142858,EC-Earth3,21.8735119047619,17.129464285714285,CNRM-ESM2-1,26.412946428571427,EC-Earth3
1970,0.0.0,historical,9.010416666666668,8.035714285714286,ACCESS-CM2,10.638392857142858,EC-Earth3,26.1547619047619,21.551339285714285,ACCESS-CM2,30.540178571428573,EC-Earth3
1971,0.0.0,historical,8.662202380952381,8.21875,EC-Earth3,9.299107142857142,CNRM-ESM2-1,28.83184523809524,25.095982142857142,ACCESS-CM2,30.821428571428573,CNRM-ESM2-1
1972,0.0.0,historical,7.225446428571428,6.455357142857143,CNRM-ESM2-1,8.580357142857142,EC-Earth3,29.078125,24.015625,EC-Earth3,32.957589285714285,ACCESS-CM2
1973,0.0.0,historical,6.783482142857143,6.049107142857143,ACCESS-CM2,7.229910714285714,CNRM-ESM2-1,25.07217261904762,20.270089285714285,EC-Earth3,29.015625,ACCESS-CM2
1974,0.0.0,historical,8.473958333333334,7.725446428571429,CNRM-ESM2-1,9.167410714285714,EC-Earth3,26.68898809523809,23.194196428571427,CNRM-ESM2-1,32.654017857142854,EC-Earth3
1975,0.0.0,historical,8.626488095238095,6.571428571428571,CNRM-ESM2-1,11.850446428571429,EC-Earth3,33.09970238095238,23.330357142857142,ACCESS-CM2,42.953125,EC-Earth3
1976,0.0.0,historical,6.689732142857143,5.814732142857143,CNRM-ESM2-1,7.729910714285714,EC-Earth3,22.202380952380953,10.381696428571429,CNRM-ESM2-1,36.953125,ACCESS-CM2
1977,0.0.0,historical,8.239583333333334,7.078125,ACCESS-CM2,9.584821428571429,CNRM-ESM2-1,30.5,28.636160714285715,CNRM-ESM2-1,31.555803571428573,ACCESS-CM2
1978,0.0.0,historical,8.789434523809524,8.348214285714286,ACCESS-CM2,9.354910714285714,CNRM-ESM2-1,29.625744047619047,26.566964285714285,EC-Earth3,34.767857142857146,CNRM-ESM2-1
1979,0.0.0,historical,8.642857142857144,7.517857142857143,ACCESS-CM2,9.78125,CNRM-ESM2-1,35.61532738095238,32.32142857142857,EC-Earth3,40.89955357142857,CNRM-ESM2-1
1980,0.0.0,historical,8.28199404761905,5.787946428571429,CNRM-ESM2-1,10.225446428571429,ACCESS-CM2,31.60788690476191,29.448660714285715,EC-Earth3,34.377232142857146,CNRM-ESM2-1
1981,0.0.0,historical,7.135416666666667,4.828125,ACCESS-CM2,9.310267857142858,CNRM-ESM2-1,26.002976190476186,19.162946428571427,ACCESS-CM2,32.419642857142854,CNRM-ESM2-1
1982,0.0.0,historical,6.222470238095238,5.823660714285714,EC-Earth3,6.834821428571429,CNRM-ESM2-1,20.277529761904763,17.305803571428573,EC-Earth3,25.149553571428573,CNRM-ESM2-1
1983,0.0.0,historical,7.396577380952382,5.214285714285714,ACCESS-CM2,9.035714285714286,EC-Earth3,27.72470238095238,26.004464285714285,CNRM-ESM2-1,30.441964285714285,ACCESS-CM2
1984,0.0.0,historical,6.299107142857143,4.276785714285714,CNRM-ESM2-1,7.40625,EC-Earth3,17.5639880952381,8.533482142857142,CNRM-ESM2-1,22.555803571428573,ACCESS-CM2
1985,0.0.0,historical,7.90625,7.332589285714286,CNRM-ESM2-1,8.488839285714286,ACCESS-CM2,28.462053571428573,24.241071428571427,ACCESS-CM2,35.38169642857143,CNRM-ESM2-1
1986,0.0.0,historical,6.820684523809525,6.209821428571429,ACCESS-CM2,7.325892857142857,EC-Earth3,23.544642857142858,20.091517857142858,ACCESS-CM2,28.600446428571427,CNRM-ESM2-1
1987,0.0.0,historical,6.945684523809525,4.892857142857143,EC-Earth3,8.366071428571429,ACCESS-CM2,24.729166666666668,17.747767857142858,EC-Earth3,28.448660714285715,ACCESS-CM2
1988,0.0.0,historical,8.574404761904761,7.642857142857143,ACCESS-CM2,9.537946428571429,EC-Earth3,32.843005952380956,27.341517857142858,ACCESS-CM2,36.84375,EC-Earth3
1989,0.0.0,historical,6.5,5.850446428571429,CNRM-ESM2-1,7.004464285714286,ACCESS-CM2,25.291666666666668,19.3125,EC-Earth3,34.926339285714285,CNRM-ESM2-1
1990,0.0.0,historical,6.570684523809523,5.029017857142857,ACCESS-CM2,8.647321428571429,EC-Earth3,24.42038690476191,17.587053571428573,ACCESS-CM2,31.078125,EC-Earth3
