Year,Ecoregion,Scenario,WarmSpell3,WarmSpell3_min,WarmSpell3_min_model,WarmSpell3_max,WarmSpell3_max_model
1951,0.0.0,historical,1.7961309523809526,1.5535714285714286,CNRM-ESM2-1,2.080357142857143,EC-Earth3
1952,0.0.0,historical,1.9248511904761905,0.5535714285714286,CNRM-ESM2-1,2.90625,ACCESS-CM2
1953,0.0.0,historical,1.5818452380952381,0.6830357142857143,CNRM-ESM2-1,2.1294642857142856,EC-Earth3
1954,0.0.0,historical,0.7075892857142856,0.1517857142857142,ACCESS-CM2,1.4397321428571428,EC-Earth3
1955,0.0.0,historical,1.0349702380952381,0.6919642857142857,CNRM-ESM2-1,1.3816964285714286,ACCESS-CM2
1956,0.0.0,historical,0.8288690476190476,0.2232142857142857,CNRM-ESM2-1,1.5602678571428572,ACCESS-CM2
1957,0.0.0,historical,1.140625,0.9196428571428572,ACCESS-CM2,1.515625,CNRM-ESM2-1
1958,0.0.0,historical,1.513392857142857,1.0334821428571428,CNRM-ESM2-1,1.9955357142857144,ACCESS-CM2
1959,0.0.0,historical,2.033482142857143,1.6875,ACCESS-CM2,2.2142857142857144,CNRM-ESM2-1
1960,0.0.0,historical,2.226190476190476,1.7611607142857142,ACCESS-CM2,3.107142857142857,CNRM-ESM2-1
1961,0.0.0,historical,2.253720238095238,0.703125,CNRM-ESM2-1,4.582589285714286,ACCESS-CM2
1962,0.0.0,historical,1.8191964285714288,0.0111607142857142,CNRM-ESM2-1,2.888392857142857,EC-Earth3
1963,0.0.0,historical,1.8787202380952381,0.4866071428571428,ACCESS-CM2,2.7611607142857144,CNRM-ESM2-1
1964,0.0.0,historical,1.3340773809523812,0.2209821428571428,CNRM-ESM2-1,2.5111607142857144,ACCESS-CM2
1965,0.0.0,historical,1.8147321428571426,1.1986607142857142,EC-Earth3,2.357142857142857,CNRM-ESM2-1
1966,0.0.0,historical,1.0848214285714286,0.4151785714285714,ACCESS-CM2,1.8616071428571428,CNRM-ESM2-1
1967,0.0.0,historical,0.8824404761904762,0.2366071428571428,ACCESS-CM2,1.6964285714285714,CNRM-ESM2-1
1968,0.0.0,historical,1.2700892857142856,0.0580357142857142,CNRM-ESM2-1,2.1763392857142856,EC-Earth3
1969,0.0.0,historical,0.9032738095238096,0.65625,CNRM-ESM2-1,1.1473214285714286,EC-Earth3
1970,0.0.0,historical,1.2961309523809523,0.3504464285714285,CNRM-ESM2-1,2.0200892857142856,EC-Earth3
1971,0.0.0,historical,1.6183035714285714,1.46875,ACCESS-CM2,1.9107142857142856,CNRM-ESM2-1
1972,0.0.0,historical,2.0052083333333335,0.9464285714285714,EC-Earth3,2.6450892857142856,ACCESS-CM2
1973,0.0.0,historical,1.7261904761904763,1.1004464285714286,EC-Earth3,2.890625,ACCESS-CM2
1974,0.0.0,historical,1.2492559523809523,0.5424107142857143,CNRM-ESM2-1,2.3348214285714284,EC-Earth3
1975,0.0.0,historical,2.1354166666666665,1.5736607142857142,ACCESS-CM2,3.0267857142857144,EC-Earth3
1976,0.0.0,historical,1.7537202380952381,0.0267857142857142,CNRM-ESM2-1,4.473214285714286,ACCESS-CM2
1977,0.0.0,historical,2.4069940476190474,1.1138392857142858,CNRM-ESM2-1,3.1316964285714284,EC-Earth3
1978,0.0.0,historical,1.2872023809523812,0.8638392857142857,ACCESS-CM2,1.6629464285714286,CNRM-ESM2-1
1979,0.0.0,historical,2.0037202380952377,1.7321428571428572,CNRM-ESM2-1,2.3794642857142856,ACCESS-CM2
1980,0.0.0,historical,1.921875,1.421875,ACCESS-CM2,2.2388392857142856,EC-Earth3
1981,0.0.0,historical,1.5639880952380956,1.0066964285714286,ACCESS-CM2,2.0625,CNRM-ESM2-1
1982,0.0.0,historical,1.1674107142857142,0.6941964285714286,ACCESS-CM2,1.4665178571428572,EC-Earth3
1983,0.0.0,historical,1.7715773809523812,1.2723214285714286,CNRM-ESM2-1,2.703125,ACCESS-CM2
1984,0.0.0,historical,1.2648809523809523,0.0959821428571428,CNRM-ESM2-1,2.4732142857142856,ACCESS-CM2
1985,0.0.0,historical,1.171875,0.5245535714285714,ACCESS-CM2,1.9441964285714288,CNRM-ESM2-1
1986,0.0.0,historical,1.8638392857142856,0.6450892857142857,EC-Earth3,2.497767857142857,CNRM-ESM2-1
1987,0.0.0,historical,2.180803571428571,1.1584821428571428,EC-Earth3,2.8191964285714284,CNRM-ESM2-1
1988,0.0.0,historical,2.0029761904761902,1.3683035714285714,ACCESS-CM2,2.497767857142857,CNRM-ESM2-1
1989,0.0.0,historical,1.9858630952380951,1.5,ACCESS-CM2,2.890625,CNRM-ESM2-1
1990,0.0.0,historical,1.6063988095238095,1.2433035714285714,ACCESS-CM2,2.216517857142857,EC-Earth3
1991,0.0.0,historical,1.8214285714285714,1.3727678571428572,CNRM-ESM2-1,2.3013392857142856,EC-Earth3
1992,0.0.0,historical,1.53125,0.7276785714285714,ACCESS-CM2,2.5044642857142856,CNRM-ESM2-1
