Year,City,Scenario,CDDMmean,CDDMmean_min,CDDMmean_min_model,CDDMmean_max,CDDMmean_max_model,CDDMmax,CDDMmax_min,CDDMmax_min_model,CDDMmax_max,CDDMmax_max_model
1951,Atlanta,historical,897.8030293104403,678.5237503051776,EC-Earth3,1067.3599062093117,CNRM-ESM2-1,1169.7934284125442,960.5523006184914,EC-Earth3,1386.5434783935548,CNRM-ESM2-1
1952,Atlanta,historical,959.8299225192618,865.5510007731137,EC-Earth3,1116.1718528238948,ACCESS-CM2,1230.8226771375878,1115.6908636474625,EC-Earth3,1413.8370829264322,ACCESS-CM2
1953,Atlanta,historical,788.0548103162996,759.903475850425,EC-Earth3,844.0019588216165,ACCESS-CM2,1007.1115596516943,943.5091945393898,EC-Earth3,1080.0086222330744,ACCESS-CM2
1954,Atlanta,historical,804.0189153374585,756.4317066446957,ACCESS-CM2,845.9573029581724,EC-Earth3,1059.3341132269982,986.4466491699236,ACCESS-CM2,1121.0460681152358,EC-Earth3
1955,Atlanta,historical,881.7851417371982,738.5262188720721,CNRM-ESM2-1,1020.4471391805032,EC-Earth3,1110.8641603597016,965.213415730796,CNRM-ESM2-1,1287.243767903646,EC-Earth3
1956,Atlanta,historical,904.2550081719313,821.0620006306983,EC-Earth3,954.83840535482,CNRM-ESM2-1,1183.1388679334866,1064.3501802571634,EC-Earth3,1247.583529663087,CNRM-ESM2-1
1957,Atlanta,historical,958.2579404364711,802.6280241902689,EC-Earth3,1044.6645629882833,ACCESS-CM2,1239.196126234267,1083.100670979819,EC-Earth3,1360.3611785888672,ACCESS-CM2
1958,Atlanta,historical,900.1122449408658,868.2625620524108,EC-Earth3,940.3580492146832,CNRM-ESM2-1,1154.988278808595,1101.590319010418,EC-Earth3,1219.82078104655,CNRM-ESM2-1
1959,Atlanta,historical,960.9069791666683,784.3362630208354,ACCESS-CM2,1138.469230550131,EC-Earth3,1209.0530217149528,1011.346961873374,ACCESS-CM2,1368.334278361002,EC-Earth3
1960,Atlanta,historical,942.3859597100172,892.2852583821633,ACCESS-CM2,1011.2619245402036,CNRM-ESM2-1,1209.394400295682,1145.5334358723974,ACCESS-CM2,1279.6773921712245,CNRM-ESM2-1
1961,Atlanta,historical,1036.6545505438926,936.9312549845394,CNRM-ESM2-1,1113.057135518393,ACCESS-CM2,1278.0257796223966,1134.6318534342463,CNRM-ESM2-1,1381.5191101074224,ACCESS-CM2
1962,Atlanta,historical,960.886209106447,815.89729227702,CNRM-ESM2-1,1093.802365824383,EC-Earth3,1220.3888632541245,1080.0561421712257,CNRM-ESM2-1,1330.8817468261725,EC-Earth3
1963,Atlanta,historical,1007.8331278822174,917.8212267049172,ACCESS-CM2,1062.514884541831,EC-Earth3,1264.8574361165372,1209.7692423502615,ACCESS-CM2,1295.6635231526702,CNRM-ESM2-1
1964,Atlanta,historical,907.6880336168097,839.1475195312521,CNRM-ESM2-1,1028.9177975463886,ACCESS-CM2,1161.9043591986774,1085.941551310223,CNRM-ESM2-1,1275.891075236003,ACCESS-CM2
