Year,City,Scenario,TRCmax,TRCmax_min,TRCmax_min_model,TRCmax_max,TRCmax_max_model,TRCmaxmin,TRCmaxmin_min,TRCmaxmin_min_model,TRCmaxmin_max,TRCmaxmin_max_model
1951,Atlanta,historical,1.2222222222222223,0.0,CNRM-ESM2-1,3.1,EC-Earth3,41.577777777777776,33.9,ACCESS-CM2,52.03333333333333,EC-Earth3
1952,Atlanta,historical,0.7000000000000001,0.0,ACCESS-CM2,1.6,EC-Earth3,36.044444444444444,25.933333333333334,ACCESS-CM2,44.3,CNRM-ESM2-1
1953,Atlanta,historical,3.022222222222222,2.0,ACCESS-CM2,4.4,EC-Earth3,39.44444444444444,29.0,ACCESS-CM2,48.53333333333333,CNRM-ESM2-1
1954,Atlanta,historical,2.111111111111111,1.3666666666666667,EC-Earth3,2.933333333333333,CNRM-ESM2-1,43.077777777777776,40.66666666666666,EC-Earth3,44.73333333333333,CNRM-ESM2-1
1955,Atlanta,historical,1.3,0.6333333333333333,ACCESS-CM2,2.5,CNRM-ESM2-1,37.87777777777777,30.4,ACCESS-CM2,48.7,CNRM-ESM2-1
1956,Atlanta,historical,1.0,0.0,ACCESS-CM2,2.0,EC-Earth3,41.03333333333333,35.6,ACCESS-CM2,44.43333333333333,EC-Earth3
1957,Atlanta,historical,0.4222222222222222,0.0,ACCESS-CM2,1.0,CNRM-ESM2-1,39.15555555555555,34.13333333333333,CNRM-ESM2-1,49.16666666666666,EC-Earth3
1958,Atlanta,historical,0.6,0.0333333333333333,EC-Earth3,1.0,ACCESS-CM2,39.666666666666664,36.53333333333333,ACCESS-CM2,42.93333333333333,CNRM-ESM2-1
1959,Atlanta,historical,0.5222222222222223,0.0,CNRM-ESM2-1,1.0,EC-Earth3,34.077777777777776,22.83333333333333,EC-Earth3,41.43333333333333,CNRM-ESM2-1
1960,Atlanta,historical,1.8111111111111111,0.9,CNRM-ESM2-1,2.966666666666667,ACCESS-CM2,34.96666666666667,32.56666666666667,CNRM-ESM2-1,36.23333333333333,EC-Earth3
1961,Atlanta,historical,0.4777777777777777,0.0,ACCESS-CM2,1.4333333333333331,CNRM-ESM2-1,27.01111111111111,23.966666666666665,ACCESS-CM2,32.46666666666667,CNRM-ESM2-1
1962,Atlanta,historical,0.35555555555555557,0.0,ACCESS-CM2,1.0,CNRM-ESM2-1,35.1,28.6,EC-Earth3,47.2,CNRM-ESM2-1
1963,Atlanta,historical,1.5555555555555556,0.0,ACCESS-CM2,3.0,EC-Earth3,32.17777777777778,24.03333333333333,EC-Earth3,38.1,ACCESS-CM2
1964,Atlanta,historical,0.611111111111111,0.1,ACCESS-CM2,1.6333333333333333,EC-Earth3,39.144444444444446,28.9,ACCESS-CM2,45.9,CNRM-ESM2-1
1965,Atlanta,historical,1.0222222222222224,0.0,CNRM-ESM2-1,2.066666666666667,EC-Earth3,34.611111111111114,18.6,ACCESS-CM2,43.6,EC-Earth3
1966,Atlanta,historical,1.0777777777777777,0.9333333333333332,ACCESS-CM2,1.3,EC-Earth3,42.34444444444444,39.36666666666667,CNRM-ESM2-1,45.3,EC-Earth3
1967,Atlanta,historical,1.5444444444444443,0.0,ACCESS-CM2,3.633333333333333,CNRM-ESM2-1,38.18888888888889,32.3,ACCESS-CM2,45.03333333333333,CNRM-ESM2-1
1968,Atlanta,historical,2.8222222222222224,1.0,EC-Earth3,5.2,CNRM-ESM2-1,40.95555555555555,38.23333333333333,EC-Earth3,46.266666666666666,CNRM-ESM2-1
1969,Atlanta,historical,1.511111111111111,0.3333333333333333,EC-Earth3,3.2,CNRM-ESM2-1,36.666666666666664,28.9,ACCESS-CM2,41.9,CNRM-ESM2-1
1970,Atlanta,historical,2.4444444444444446,1.8666666666666667,EC-Earth3,2.9,CNRM-ESM2-1,43.38888888888889,40.7,EC-Earth3,47.86666666666667,CNRM-ESM2-1
1971,Atlanta,historical,0.6666666666666666,0.0,ACCESS-CM2,2.0,EC-Earth3,30.933333333333337,21.366666666666667,EC-Earth3,38.23333333333333,CNRM-ESM2-1
1972,Atlanta,historical,1.9555555555555557,1.4,CNRM-ESM2-1,2.6,EC-Earth3,30.51111111111111,19.73333333333333,ACCESS-CM2,40.3,EC-Earth3
1973,Atlanta,historical,1.5555555555555554,0.8666666666666667,ACCESS-CM2,2.1333333333333333,EC-Earth3,41.96666666666666,28.2,ACCESS-CM2,50.03333333333333,CNRM-ESM2-1
1974,Atlanta,historical,1.7,0.3,CNRM-ESM2-1,2.833333333333333,EC-Earth3,44.02222222222222,39.833333333333336,ACCESS-CM2,46.23333333333333,EC-Earth3
1975,Atlanta,historical,1.4555555555555557,0.0,EC-Earth3,3.3666666666666667,ACCESS-CM2,33.8,24.266666666666666,EC-Earth3,44.766666666666666,CNRM-ESM2-1
1976,Atlanta,historical,0.41111111111111115,0.0,ACCESS-CM2,0.8666666666666667,CNRM-ESM2-1,36.922222222222224,17.733333333333334,ACCESS-CM2,46.96666666666667,CNRM-ESM2-1
1977,Atlanta,historical,0.9444444444444443,0.5333333333333333,EC-Earth3,1.2,ACCESS-CM2,32.21111111111111,27.066666666666663,CNRM-ESM2-1,39.93333333333333,EC-Earth3
