Year,City,Scenario,WarmSpell3,WarmSpell3_min,WarmSpell3_min_model,WarmSpell3_max,WarmSpell3_max_model
1951,Atlanta,historical,4.066666666666666,3.066666666666667,CNRM-ESM2-1,5.233333333333333,EC-Earth3
1952,Atlanta,historical,3.6444444444444444,2.3,ACCESS-CM2,5.433333333333334,EC-Earth3
1953,Atlanta,historical,4.788888888888889,3.1333333333333333,ACCESS-CM2,6.6,CNRM-ESM2-1
1954,Atlanta,historical,5.377777777777777,4.066666666666666,EC-Earth3,6.233333333333333,CNRM-ESM2-1
1955,Atlanta,historical,5.111111111111112,3.8333333333333335,ACCESS-CM2,7.1,CNRM-ESM2-1
1956,Atlanta,historical,3.2777777777777772,2.5,ACCESS-CM2,4.366666666666666,EC-Earth3
1957,Atlanta,historical,3.8111111111111113,2.7,CNRM-ESM2-1,5.5,EC-Earth3
1958,Atlanta,historical,4.4,4.066666666666666,ACCESS-CM2,4.733333333333333,CNRM-ESM2-1
1959,Atlanta,historical,3.5,2.2666666666666666,EC-Earth3,4.433333333333334,ACCESS-CM2
1960,Atlanta,historical,3.888888888888889,2.3666666666666667,CNRM-ESM2-1,5.3,ACCESS-CM2
1961,Atlanta,historical,3.6111111111111107,2.7666666666666666,EC-Earth3,5.1,CNRM-ESM2-1
1962,Atlanta,historical,3.288888888888889,2.0,ACCESS-CM2,4.066666666666666,EC-Earth3
1963,Atlanta,historical,2.8222222222222224,1.4,ACCESS-CM2,4.066666666666666,EC-Earth3
1964,Atlanta,historical,5.733333333333334,4.1,ACCESS-CM2,7.9,EC-Earth3
1965,Atlanta,historical,3.6555555555555554,2.1,ACCESS-CM2,5.066666666666666,EC-Earth3
1966,Atlanta,historical,4.388888888888889,3.6666666666666665,CNRM-ESM2-1,5.733333333333333,EC-Earth3
1967,Atlanta,historical,2.8777777777777778,2.066666666666667,ACCESS-CM2,3.3,EC-Earth3
1968,Atlanta,historical,4.711111111111111,4.533333333333333,ACCESS-CM2,5.0,CNRM-ESM2-1
1969,Atlanta,historical,4.3999999999999995,3.0,ACCESS-CM2,5.966666666666667,EC-Earth3
1970,Atlanta,historical,5.133333333333334,4.433333333333334,EC-Earth3,6.233333333333333,CNRM-ESM2-1
1971,Atlanta,historical,3.744444444444445,2.9,ACCESS-CM2,4.633333333333334,EC-Earth3
1972,Atlanta,historical,4.0777777777777775,3.0,ACCESS-CM2,5.6,EC-Earth3
1973,Atlanta,historical,4.855555555555555,3.2666666666666666,ACCESS-CM2,5.8,EC-Earth3
1974,Atlanta,historical,5.188888888888889,4.633333333333334,CNRM-ESM2-1,6.2,ACCESS-CM2
1975,Atlanta,historical,4.077777777777778,2.0,EC-Earth3,5.733333333333333,CNRM-ESM2-1
1976,Atlanta,historical,4.222222222222222,1.3,ACCESS-CM2,6.266666666666667,EC-Earth3
1977,Atlanta,historical,2.988888888888889,2.1666666666666665,ACCESS-CM2,4.633333333333334,EC-Earth3
1978,Atlanta,historical,4.366666666666666,3.0,ACCESS-CM2,6.066666666666666,EC-Earth3
1979,Atlanta,historical,4.011111111111112,2.0,CNRM-ESM2-1,5.133333333333334,ACCESS-CM2
1980,Atlanta,historical,3.5666666666666664,2.6,ACCESS-CM2,4.3,EC-Earth3
1981,Atlanta,historical,3.511111111111111,2.0,EC-Earth3,5.366666666666666,ACCESS-CM2
1982,Atlanta,historical,7.033333333333334,5.933333333333334,ACCESS-CM2,9.066666666666666,CNRM-ESM2-1
1983,Atlanta,historical,4.111111111111112,3.2333333333333334,ACCESS-CM2,5.5,EC-Earth3
1984,Atlanta,historical,5.733333333333333,3.6666666666666665,EC-Earth3,7.533333333333333,CNRM-ESM2-1
1985,Atlanta,historical,4.777777777777778,3.8,CNRM-ESM2-1,6.066666666666666,EC-Earth3
1986,Atlanta,historical,5.8,5.033333333333333,ACCESS-CM2,7.066666666666666,EC-Earth3
1987,Atlanta,historical,4.055555555555556,2.6,CNRM-ESM2-1,6.466666666666667,EC-Earth3
1988,Atlanta,historical,2.966666666666667,2.4,ACCESS-CM2,3.633333333333333,CNRM-ESM2-1
1989,Atlanta,historical,4.711111111111111,4.133333333333334,CNRM-ESM2-1,5.066666666666666,ACCESS-CM2
1990,Atlanta,historical,4.544444444444444,4.4,CNRM-ESM2-1,4.733333333333333,ACCESS-CM2
1991,Atlanta,historical,4.2555555555555555,3.633333333333333,EC-Earth3,5.0,ACCESS-CM2
1992,Atlanta,historical,4.0,2.933333333333333,ACCESS-CM2,6.066666666666666,EC-Earth3
1993,Atlanta,historical,3.6888888888888887,2.9,ACCESS-CM2,4.133333333333334,EC-Earth3
1994,Atlanta,historical,4.211111111111111,2.0,ACCESS-CM2,6.566666666666666,CNRM-ESM2-1
1995,Atlanta,historical,4.7,2.1333333333333333,CNRM-ESM2-1,6.133333333333334,EC-Earth3
1996,Atlanta,historical,6.522222222222222,5.633333333333334,EC-Earth3,7.833333333333333,ACCESS-CM2
1997,Atlanta,historical,3.511111111111111,2.566666666666667,CNRM-ESM2-1,5.033333333333333,EC-Earth3
1998,Atlanta,historical,3.6333333333333333,2.6333333333333333,CNRM-ESM2-1,4.433333333333334,ACCESS-CM2
1999,Atlanta,historical,4.566666666666666,4.0,CNRM-ESM2-1,5.566666666666666,EC-Earth3
2000,Atlanta,historical,1.9333333333333333,1.3666666666666667,ACCESS-CM2,2.433333333333333,EC-Earth3
2001,Atlanta,historical,4.777777777777778,4.0,EC-Earth3,5.2,CNRM-ESM2-1
2002,Atlanta,historical,3.7000000000000006,2.0,CNRM-ESM2-1,5.4,EC-Earth3
2003,Atlanta,historical,3.3000000000000003,2.3,ACCESS-CM2,4.466666666666667,EC-Earth3
2004,Atlanta,historical,3.388888888888889,2.333333333333333,ACCESS-CM2,4.833333333333333,EC-Earth3
2005,Atlanta,historical,3.244444444444445,2.1666666666666665,CNRM-ESM2-1,4.266666666666667,ACCESS-CM2
2006,Atlanta,historical,3.0777777777777775,2.066666666666667,CNRM-ESM2-1,4.1,ACCESS-CM2
2007,Atlanta,historical,2.3333333333333335,1.0,CNRM-ESM2-1,4.233333333333333,EC-Earth3
2008,Atlanta,historical,3.977777777777778,3.0,CNRM-ESM2-1,4.866666666666666,EC-Earth3
2009,Atlanta,historical,4.1000000000000005,3.933333333333333,ACCESS-CM2,4.266666666666667,EC-Earth3
2010,Atlanta,historical,2.3000000000000003,1.6333333333333333,ACCESS-CM2,3.2666666666666666,CNRM-ESM2-1
2011,Atlanta,historical,3.1,1.0666666666666669,EC-Earth3,4.666666666666667,ACCESS-CM2
2012,Atlanta,historical,3.5888888888888886,3.0,EC-Earth3,4.0,CNRM-ESM2-1
2013,Atlanta,historical,3.555555555555556,2.966666666666667,CNRM-ESM2-1,4.466666666666667,EC-Earth3
2014,Atlanta,historical,2.7111111111111117,1.8333333333333333,EC-Earth3,3.2,CNRM-ESM2-1
1951,Austin,historical,1.846153846153846,1.0,CNRM-ESM2-1,2.3461538461538463,ACCESS-CM2
1952,Austin,historical,3.17948717948718,2.8846153846153846,CNRM-ESM2-1,3.692307692307693,ACCESS-CM2
1953,Austin,historical,2.7692307692307696,2.230769230769231,ACCESS-CM2,3.076923076923077,EC-Earth3
1954,Austin,historical,2.358974358974359,1.0,EC-Earth3,3.807692307692308,CNRM-ESM2-1
1955,Austin,historical,2.2179487179487176,1.0,ACCESS-CM2,3.1538461538461537,CNRM-ESM2-1
1956,Austin,historical,1.7307692307692306,1.0384615384615383,EC-Earth3,3.0,ACCESS-CM2
1957,Austin,historical,1.3333333333333333,1.0,ACCESS-CM2,2.0,EC-Earth3
1958,Austin,historical,1.1794871794871795,1.0,ACCESS-CM2,1.5384615384615383,EC-Earth3
1959,Austin,historical,1.9230769230769231,1.7692307692307692,CNRM-ESM2-1,2.0,ACCESS-CM2
1960,Austin,historical,2.358974358974359,1.807692307692308,EC-Earth3,2.9615384615384617,CNRM-ESM2-1
1961,Austin,historical,1.9102564102564104,1.0,ACCESS-CM2,2.576923076923077,CNRM-ESM2-1
1962,Austin,historical,1.8205128205128205,1.0,ACCESS-CM2,2.4615384615384617,CNRM-ESM2-1
1963,Austin,historical,2.256410256410257,1.7307692307692308,ACCESS-CM2,2.9615384615384617,EC-Earth3
1964,Austin,historical,1.9743589743589745,1.1538461538461535,ACCESS-CM2,2.8461538461538463,CNRM-ESM2-1
1965,Austin,historical,1.4743589743589745,1.0,EC-Earth3,2.0,ACCESS-CM2
1966,Austin,historical,2.128205128205128,1.1538461538461535,ACCESS-CM2,3.1538461538461537,EC-Earth3
1967,Austin,historical,1.8076923076923077,1.0,ACCESS-CM2,2.6923076923076925,CNRM-ESM2-1
1968,Austin,historical,3.0128205128205128,2.0,EC-Earth3,4.769230769230769,CNRM-ESM2-1
1969,Austin,historical,2.2820512820512824,2.0,ACCESS-CM2,2.8461538461538463,EC-Earth3
1970,Austin,historical,2.2564102564102564,1.0,EC-Earth3,2.9615384615384617,CNRM-ESM2-1
