variable,variable_name,units,model,experiment,scenario,period,season,ecoregion,ecoregion_name,mean,delta,pct_change
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,0.0.0,Water,2.3089793994341945,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,1.1.1,Ellesmere and Devon Islands Ice Caps,0.5955121783943801,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,1.1.2,Baffin and Torngat Mountains,1.0725947215231268,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.1,Thompson-Okanogan Plateau,1.7279108186548453,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.2,Columbia Plateau,0.8709709195855999,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.3,Northern Basin and Range,0.8330630472745678,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.4,Wyoming Basin,0.8356646298526123,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.5,Central Basin and Range,0.7891708134578564,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.6,Colorado Plateaus,0.8393805312781921,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.7,Arizona/New Mexico Plateau,0.8457818461742507,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.8,Snake River Plain,0.9289865898471265,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.1,Mojave Basin and Range,0.6300187525478781,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.2,Sonoran Desert,0.5966314772883928,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.3,Baja Californian Desert,0.3986983683325686,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.4,Chihuahuan Desert,0.9011883904982502,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",1.452877893206587,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.2,Central California Valley,1.0609959410855945,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.3,Southern and Baja California Pine-Oak Mountains,1.300903192366427,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,12.1.1,Madrean Archipelago,1.154576304651648,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,12.1.2,"Piedmonts and Plains with Grasslands, Xeric Shrub, and Oak and Conifer Forests",1.2513887159376702,,
pr,Precipitation,mm/day,ACCESS-CM2,historical,historical,near-term Past,Annual,12.2.1,Hills and Interior Plains with Xeric Shrub and Mesquite Low Forest,1.9503881287941065,,
