variable,variable_name,units,model,experiment,scenario,period,season,ecoregion,ecoregion_name,mean,delta,pct_change
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,0.0.0,Water,6.99940175189047,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,1.1.1,Ellesmere and Devon Islands Ice Caps,-21.611341184727294,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,1.1.2,Baffin and Torngat Mountains,-12.334856986942164,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.1,Thompson-Okanogan Plateau,4.268577935420653,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.2,Columbia Plateau,10.99907411630141,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.3,Northern Basin and Range,8.496647646165071,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.4,Wyoming Basin,6.317557705618458,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.5,Central Basin and Range,10.073012401050995,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.6,Colorado Plateaus,9.690831618957644,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.7,Arizona/New Mexico Plateau,11.444637223945485,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.8,Snake River Plain,9.597638470449589,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.1,Mojave Basin and Range,17.471491004624767,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.2,Sonoran Desert,21.977877366766062,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.3,Baja Californian Desert,21.17647033760757,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.4,Chihuahuan Desert,18.88616187098436,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",15.490016350805163,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.2,Central California Valley,17.54661361754835,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.3,Southern and Baja California Pine-Oak Mountains,12.383602894037269,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,12.1.1,Madrean Archipelago,17.46964884208061,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,12.1.2,"Piedmonts and Plains with Grasslands, Xeric Shrub, and Oak and Conifer Forests",17.325250719922902,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,12.2.1,Hills and Interior Plains with Xeric Shrub and Mesquite Low Forest,18.270101925849183,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.1.1,Arizona/New Mexico Mountains,12.149211938775634,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.2.1,"Sierra Madre Occidental with Conifer, Oak, and Mixed Forests",16.72384854340107,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.3.1,"Sierra Madre Oriental with Conifer, Oak, and Mixed Forests",19.04335887982255,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.4.1,Interior Plains and Piedmonts with Grasslands and Xeric Shrub,15.5174713197954,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.4.2,"Hills and Sierras with Conifer, Oak, and Mixed Forests",17.244302741591632,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.5.1,"Sierras of Jalisco and Michoacan with Conifer, Oak, and Mixed Forests",21.384142845278305,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.5.2,"Sierras of Guerrero and Oaxaca with Conifer, Oak, and Mixed Forests",20.25706692575403,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.6.1,"Central American Sierra Madre with Conifer, Oak, and Mixed Forests",21.72579432980357,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.6.2,"Chiapas Highlands with Conifer, Oak, and Mixed Forest",20.93689323753664,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.1.1,Coastal Plain with Low Tropical Deciduous Forest,25.320433877016026,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.1.2,Hills and Sierra with Low Tropical Deciduous Forest and Oak Forest,24.669605210320658,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.2.1,Northwestern Yucatan Plain with Low Tropical Deciduous Forest,26.794611267317112,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.3.1,Sinaloa Coastal Plain with Low Thorn Tropical Forest and Wetlands,25.182538049347155,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.3.2,Sinaloa and Sonora Hills and Canyons with Xeric Shrub and Low Tropical Deciduous Forest,23.13608574410308,0.0,
tas,Mean near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.4.1,Balsas Depression with Low Tropical Deciduous Forest and Xerophytic Shrub,25.18106832735093,0.0,
