variable,variable_name,units,model,experiment,scenario,period,season,ecoregion,ecoregion_name,mean,delta,pct_change
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,0.0.0,Water,12.287436515371317,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,1.1.1,Ellesmere and Devon Islands Ice Caps,-19.441009997987223,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,1.1.2,Baffin and Torngat Mountains,-9.574683962308931,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.1,Thompson-Okanogan Plateau,9.619745348966193,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.2,Columbia Plateau,17.267610560980565,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.3,Northern Basin and Range,16.054924272426845,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.4,Wyoming Basin,13.88013669806668,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.5,Central Basin and Range,18.59687582357588,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.6,Colorado Plateaus,17.64244649786533,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.7,Arizona/New Mexico Plateau,20.09761872087511,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.8,Snake River Plain,16.619349401835823,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.1,Mojave Basin and Range,25.34967485755637,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.2,Sonoran Desert,30.10967524687329,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.3,Baja Californian Desert,28.28099612256912,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.4,Chihuahuan Desert,27.29059055006396,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",22.19289171065449,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.2,Central California Valley,24.62582996222008,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.3,Southern and Baja California Pine-Oak Mountains,19.23248015015507,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,12.1.1,Madrean Archipelago,26.545807551581333,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,12.1.2,"Piedmonts and Plains with Grasslands, Xeric Shrub, and Oak and Conifer Forests",26.033672255331656,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,12.2.1,Hills and Interior Plains with Xeric Shrub and Mesquite Low Forest,26.16766768648905,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.1.1,Arizona/New Mexico Mountains,20.71350143438492,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.2.1,"Sierra Madre Occidental with Conifer, Oak, and Mixed Forests",24.80538169454412,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.3.1,"Sierra Madre Oriental with Conifer, Oak, and Mixed Forests",26.59274653293575,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.4.1,Interior Plains and Piedmonts with Grasslands and Xeric Shrub,23.50918666437673,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.4.2,"Hills and Sierras with Conifer, Oak, and Mixed Forests",24.81360010915292,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.5.1,"Sierras of Jalisco and Michoacan with Conifer, Oak, and Mixed Forests",28.944374677637917,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.5.2,"Sierras of Guerrero and Oaxaca with Conifer, Oak, and Mixed Forests",27.375720974721936,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.6.1,"Central American Sierra Madre with Conifer, Oak, and Mixed Forests",28.477289020474945,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.6.2,"Chiapas Highlands with Conifer, Oak, and Mixed Forest",27.47478619857137,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.1.1,Coastal Plain with Low Tropical Deciduous Forest,31.261899010652503,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.1.2,Hills and Sierra with Low Tropical Deciduous Forest and Oak Forest,30.75852601675829,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.2.1,Northwestern Yucatan Plain with Low Tropical Deciduous Forest,32.0464986604146,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.3.1,Sinaloa Coastal Plain with Low Thorn Tropical Forest and Wetlands,32.889404348916514,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.3.2,Sinaloa and Sonora Hills and Canyons with Xeric Shrub and Low Tropical Deciduous Forest,30.854691426739592,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.4.1,Balsas Depression with Low Tropical Deciduous Forest and Xerophytic Shrub,32.81825783569647,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.4.2,Chiapas Depression with Low Deciduous and Medium Semi-Deciduous Tropical Forest,31.52273254146029,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.4.3,Valleys and Depressions with Xeric Shrub and Low Tropical Deciduous Forest,26.73790442196264,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.5.1,Tehuantepec Canyon and Plain with Low Tropical Deciduous Forest and Low Thorn Tropical Forest,31.557840317937902,0.0,
tasmax,Daily maximum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,14.5.2,South Pacific Hills and Piedmonts with Low Tropical Deciduous Forest,33.06880548677416,0.0,
