variable,variable_name,units,model,experiment,scenario,period,season,ecoregion,ecoregion_name,mean,delta,pct_change
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,0.0.0,Water,1.581285335836785,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,1.1.1,Ellesmere and Devon Islands Ice Caps,-23.957295093096555,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,1.1.2,Baffin and Torngat Mountains,-15.298430255320929,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.1,Thompson-Okanogan Plateau,-1.1929989909626992,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.2,Columbia Plateau,4.61074099216063,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.3,Northern Basin and Range,0.8348955878370905,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.4,Wyoming Basin,-1.3701295511634712,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.5,Central Basin and Range,1.4504488026267328,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.6,Colorado Plateaus,1.6353577772563443,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.7,Arizona/New Mexico Plateau,2.678580437605248,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.1.8,Snake River Plain,2.459706532311499,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.1,Mojave Basin and Range,9.475151089973554,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.2,Sonoran Desert,13.743948083170809,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.3,Baja Californian Desert,14.00173747927267,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,10.2.4,Chihuahuan Desert,10.39029819418943,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",8.706314273760361,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.2,Central California Valley,10.38649559701904,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,11.1.3,Southern and Baja California Pine-Oak Mountains,5.434209512047849,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,12.1.1,Madrean Archipelago,8.2882395957127,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,12.1.2,"Piedmonts and Plains with Grasslands, Xeric Shrub, and Oak and Conifer Forests",8.517214777143021,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,12.2.1,Hills and Interior Plains with Xeric Shrub and Mesquite Low Forest,10.28567715432122,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.1.1,Arizona/New Mexico Mountains,3.474446083187673,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.2.1,"Sierra Madre Occidental with Conifer, Oak, and Mixed Forests",8.545127576300857,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.3.1,"Sierra Madre Oriental with Conifer, Oak, and Mixed Forests",11.43442669390303,0.0,
tasmin,Daily minimum near-surface air temperature,degC,ACCESS-CM2,historical,historical,near-term Past,Annual,13.4.1,Interior Plains and Piedmonts with Grasslands and Xeric Shrub,7.451353904089727,0.0,
